id,State Name,Code Name,Nickname,Website,Admission Year,Admission Number,Capital,Capital Website,Population,Population Rank,Constitution,State Flag,State Seal,Map,Landscape Background,Skyline Background,Area,Median Household Income,Percent in Poverty,Percent of Adult College Graduates
37,Oregon,OR,Beaver State,http://www.oregon.gov,1859.0,33.0,Salem,http://www.cityofsalem.net/Pages/default.aspx,3930065.0,27.0,http://bluebook.state.or.us/state/constitution/constitution.htm,https://cdn.civil.services/us-states/flags/oregon-large.png,https://cdn.civil.services/us-states/seals/oregon-large.png,https://cdn.civil.services/us-states/maps/oregon-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/oregon.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/oregon.jpg,98379.0,56119.0,10.6,32.3
38,Pennsylvania,PA,Keystone State,http://www.pa.gov,1787.0,2.0,Harrisburg,http://harrisburgpa.gov,12773801.0,6.0,http://sites.state.pa.us/PA_Constitution.html,https://cdn.civil.services/us-states/flags/pennsylvania-large.png,https://cdn.civil.services/us-states/seals/pennsylvania-large.png,https://cdn.civil.services/us-states/maps/pennsylvania-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/pennsylvania.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/pennsylvania.jpg,46054.0,56951.0,11.5,30.1
39,Rhode Island,RI,The Ocean State,https://www.ri.gov,1790.0,13.0,Providence,http://www.providenceri.com,1051511.0,43.0,http://webserver.rilin.state.ri.us/RiConstitution,https://cdn.civil.services/us-states/flags/rhode-island-large.png,https://cdn.civil.services/us-states/seals/rhode-island-large.png,https://cdn.civil.services/us-states/maps/rhode-island-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/rhode-island.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/rhode-island.jpg,1545.0,61043.0,10.3,33.0
40,South Carolina,SC,Palmetto State,http://www.sc.gov,1788.0,8.0,Columbia,http://www.columbiasc.net,4774839.0,24.0,http://www.scstatehouse.gov/scconstitution/scconst.php,https://cdn.civil.services/us-states/flags/south-carolina-large.png,https://cdn.civil.services/us-states/seals/south-carolina-large.png,https://cdn.civil.services/us-states/maps/south-carolina-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/south-carolina.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/south-carolina.jpg,32020.0,48781.0,14.1,27.0
41,South Dakota,SD,Mount Rushmore State,http://sd.gov,1889.0,40.0,Pierre,http://ci.pierre.sd.us,844877.0,46.0,http://legis.sd.gov/statutes/Constitution,https://cdn.civil.services/us-states/flags/south-dakota-large.png,https://cdn.civil.services/us-states/seals/south-dakota-large.png,https://cdn.civil.services/us-states/maps/south-dakota-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/south-dakota.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/south-dakota.jpg,77116.0,54126.0,11.8,27.8
42,Tennessee,TN,Volunteer State,https://www.tn.gov,1796.0,16.0,Nashville,http://www.nashville.gov,6495978.0,17.0,http://www.capitol.tn.gov/about/docs/TN-Constitution.pdf,https://cdn.civil.services/us-states/flags/tennessee-large.png,https://cdn.civil.services/us-states/seals/tennessee-large.png,https://cdn.civil.services/us-states/maps/tennessee-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/tennessee.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/tennessee.jpg,42144.0,48708.0,12.6,26.1
43,Texas,TX,Lone Star State,https://www.texas.gov,1845.0,28.0,Austin,http://www.austintexas.gov,26448193.0,2.0,http://www.constitution.legis.state.tx.us,https://cdn.civil.services/us-states/flags/texas-large.png,https://cdn.civil.services/us-states/seals/texas-large.png,https://cdn.civil.services/us-states/maps/texas-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/texas.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/texas.jpg,268596.0,57051.0,13.7,28.7
44,Utah,UT,The Beehive State,https://utah.gov,1896.0,45.0,Salt Lake City,http://www.slcgov.com,2900872.0,33.0,http://le.utah.gov/UtahCode/chapter.jsp?code=Constitution,https://cdn.civil.services/us-states/flags/utah-large.png,https://cdn.civil.services/us-states/seals/utah-large.png,https://cdn.civil.services/us-states/maps/utah-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/utah.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/utah.jpg,84897.0,65325.0,7.9,32.5
45,Vermont,VT,Green Mountain State,http://vermont.gov,1791.0,14.0,Montpelier,http://www.montpelier-vt.org,626630.0,49.0,http://www.leg.state.vt.us/statutes/const2.htm,https://cdn.civil.services/us-states/flags/vermont-large.png,https://cdn.civil.services/us-states/seals/vermont-large.png,https://cdn.civil.services/us-states/maps/vermont-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/vermont.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/vermont.jpg,9616.0,57808.0,9.6,36.8
46,Virginia,VA,Old Dominion State,https://www.virginia.gov,1788.0,10.0,Richmond,http://www.richmondgov.com,8260405.0,12.0,http://hodcap.state.va.us/publications/Constitution-01-13.pdf,https://cdn.civil.services/us-states/flags/virginia-large.png,https://cdn.civil.services/us-states/seals/virginia-large.png,https://cdn.civil.services/us-states/maps/virginia-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/virginia.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/virginia.jpg,42775.0,68766.0,10.7,37.6
47,Washington,WA,The Evergreen State,http://www.wa.gov,1889.0,42.0,Olympia,http://www.ci.olympia.wa.us,6971406.0,13.0,http://www.leg.wa.gov/lawsandagencyrules/pages/constitution.aspx,https://cdn.civil.services/us-states/flags/washington-large.png,https://cdn.civil.services/us-states/seals/washington-large.png,https://cdn.civil.services/us-states/maps/washington-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/washington.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/washington.jpg,71298.0,66174.0,10.3,34.5
48,West Virginia,WV,Mountain State,http://www.wv.gov,1863.0,35.0,Charleston,http://www.cityofcharleston.org,1854304.0,38.0,http://www.legis.state.wv.us/WVCODE/WV_CON.cfm,https://cdn.civil.services/us-states/flags/west-virginia-large.png,https://cdn.civil.services/us-states/seals/west-virginia-large.png,https://cdn.civil.services/us-states/maps/west-virginia-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/west-virginia.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/west-virginia.jpg,24230.0,44061.0,17.2,19.9
49,Wisconsin,WI,Badger State,https://www.wisconsin.gov,1848.0,30.0,Madison,http://www.ci.madison.wi.us,5742713.0,20.0,http://www.legis.state.wi.us/rsb/2wiscon.html,https://cdn.civil.services/us-states/flags/wisconsin-large.png,https://cdn.civil.services/us-states/seals/wisconsin-large.png,https://cdn.civil.services/us-states/maps/wisconsin-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/wisconsin.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/wisconsin.jpg,65496.0,56759.0,9.5,29.0
50,Wyoming,WY,Equality State,http://www.wyo.gov,1890.0,44.0,Cheyenne,http://www.cheyennecity.org,582658.0,50.0,http://legisweb.state.wy.us/statutes/constitution.aspx?file=titles/97Title97.htm,https://cdn.civil.services/us-states/flags/wyoming-large.png,https://cdn.civil.services/us-states/seals/wyoming-large.png,https://cdn.civil.services/us-states/maps/wyoming-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/wyoming.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/wyoming.jpg,97813.0,60938.0,11.4,26.7
