id,Trip Length in Seconds,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
147,298.0,6:02:34 AM,6:07:32 AM,335.0,Harvard St at Greene-Rose Heritage Park,42.37,-71.1,67.0,MIT at Mass Ave / Amherst St,42.36,-71.09,6137.0,Subscriber,1988.0,Female
148,876.0,6:15:35 AM,6:30:11 AM,149.0,175 N Harvard St,42.36,-71.13,407.0,Craigie at Summer St,42.38,-71.11,5296.0,Subscriber,1986.0,Female
149,888.0,6:25:42 AM,6:40:31 AM,19.0,Park Dr at Buswell St,42.35,-71.11,440.0,Boston Landing,42.36,-71.14,5709.0,Subscriber,1996.0,Male
150,738.0,6:31:11 AM,6:43:29 AM,226.0,Commonwealth Ave At Babcock St,42.35,-71.12,30.0,Brigham Circle - Francis St at Huntington Ave,42.33,-71.1,5142.0,Subscriber,1996.0,Female
151,163.0,6:34:33 AM,6:37:17 AM,139.0,Dana Park,42.36,-71.11,76.0,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.37,-71.11,5099.0,Subscriber,1994.0,Female
152,519.0,6:38:06 AM,6:46:45 AM,27.0,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.33,-71.1,21.0,Prudential Center - 101 Huntington Ave,42.35,-71.08,4855.0,Subscriber,1986.0,Male
153,601.0,6:41:07 AM,6:51:08 AM,20.0,Aquarium T Stop - 200 Atlantic Ave,42.36,-71.05,136.0,ID Building West,42.34,-71.03,2127.0,Customer,1969.0,Not Specified
154,110.0,6:46:15 AM,6:48:06 AM,331.0,Huntington Ave at Mass Art,42.34,-71.1,160.0,Wentworth Institute of Technology - Huntington Ave at Vancouver St,42.34,-71.1,2922.0,Subscriber,1995.0,Male
155,99.0,6:59:24 AM,7:01:03 AM,75.0,Lafayette Square at Mass Ave / Main St / Columbia St,42.36,-71.1,380.0,Mass Ave at Albany St,42.36,-71.1,2717.0,Subscriber,1987.0,Male
156,898.0,6:59:55 AM,7:14:54 AM,358.0,Medford St at Charlestown BCYF,42.38,-71.06,81.0,Chinatown T Stop,42.35,-71.06,3933.0,Subscriber,1991.0,Female
157,788.0,7:03:32 AM,7:16:41 AM,21.0,Prudential Center - 101 Huntington Ave,42.35,-71.08,380.0,Mass Ave at Albany St,42.36,-71.1,4855.0,Subscriber,1962.0,Male
158,277.0,7:05:38 AM,7:10:16 AM,91.0,One Kendall Square at Hampshire St / Portland St,42.37,-71.09,318.0,Ames St at Broadway,42.36,-71.09,3082.0,Subscriber,1965.0,Male
159,579.0,7:07:35 AM,7:17:14 AM,27.0,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.33,-71.1,39.0,Washington St at Rutland St,42.34,-71.07,4620.0,Subscriber,1999.0,Female
160,346.0,7:08:27 AM,7:14:14 AM,39.0,Washington St at Rutland St,42.34,-71.07,16.0,Back Bay T Stop - Dartmouth St at Stuart St,42.35,-71.08,277.0,Subscriber,1988.0,Male
161,345.0,7:08:36 AM,7:14:21 AM,39.0,Washington St at Rutland St,42.34,-71.07,16.0,Back Bay T Stop - Dartmouth St at Stuart St,42.35,-71.08,5549.0,Subscriber,1988.0,Female
162,503.0,7:09:48 AM,7:18:12 AM,191.0,Tappan St at Brookline Hills MBTA,42.33,-71.13,19.0,Park Dr at Buswell St,42.35,-71.11,3250.0,Customer,1970.0,Male
