id,Publisher,Author,Primary ISBN10,Date,Title,Weeks on list
1677,Crown,Gillian Flynn,307588386.0,4/19/15,GONE GIRL,0.0
1678,Pocket,Lisa Genova,1439157030.0,4/19/15,STILL ALICE,0.0
1679,Forever,Rebecca Zanetti,145557449X,4/19/15,TOTAL SURRENDER,0.0
1680,Vintage,E L James,1612130615.0,4/12/15,FIFTY SHADES FREED,0.0
1681,Witness Impulse,Eric Rickstad,62351516.0,4/12/15,THE SILENT GIRLS,0.0
1682,Knopf Doubleday Publishing Group,Lincoln Child,307387682.0,4/12/15,DEEP STORM,0.0
1683,Vintage,E L James,None,4/5/15,FIFTY SHADES OF GREY,0.0
1684,Kendall Ryan,Kendall Ryan,None,4/5/15,RECKLESS LOVE,0.0
1685,Putnam,C J Box,NA,4/5/15,ENDANGERED,0.0
1686,Ballantine,Debbie Macomber,553391895.0,4/5/15,LAST ONE HOME,0.0
1687,Morrow,Dennis Lehane,NA,3/29/15,WORLD GONE BY,0.0
1688,Putnam,Clive Cussler and Justin Scott,NA,3/29/15,THE ASSASSIN,0.0
1689,Delacorte,Danielle Steel,080417962X,3/29/15,PRODIGAL SON,0.0
1690,Zebra,Fern Michaels,1420133152.0,3/29/15,FORGET ME NOT,0.0
1691,Mira,Ron Carr,1460380401.0,3/22/15,ONE WISH,0.0
1692,Ampersand,Kristen Pro,1633500047.0,3/22/15,EASY LOVE,0.0
1693,Vision,David Baldacci,759524920.0,3/22/15,TOTAL CONTROL,0.0
1694,J. S. Cooper,J S Cooper,1940218381.0,3/22/15,FALLING FOR MY BEST FRIEND'S BROTHER,0.0
1695,Forever,S C Stephens,1455588814.0,3/15/15,THOUGHTFUL,0.0
1696,Signet,K Bromberg,None,3/15/15,SLOW BURN,0.0
1697,Ballantine,Jonathan Kellerman,None,3/15/15,MOTIVE,0.0
1698,"Little, Brown",James Patterson and Maxine Paetro,316211141.0,3/15/15,PRIVATE VEGAS,0.0
1699,Mira,Susan Mallery,146038041X,3/15/15,THE GIRLS OF MISCHIEF BAY,0.0
1700,Dutton,Lisa Gardner,NA,3/8/15,CRASH AND BURN,0.0
1701,Harper Sloan,Harper Sloan,None,3/8/15,UNEXPECTED FATE,0.0
1702,Gallery,Kresley Cole,1451650108.0,3/8/15,THE MASTER,0.0
1703,Howard Books,Allison Pataki,None,3/8/15,THE ACCIDENTAL EMPRESS,0.0
1704,Morrow/HarperCollins,James Rollins and Rebecca Cantrell,62343289.0,3/1/15,BLOOD INFERNAL,0.0
1705,NAL,Samantha Young,None,2/22/15,HERO,0.0
1706,Morrow,Neil Gaiman,62330268.0,2/22/15,TRIGGER WARNING,0.0
1707,J.S. Cooper,J���S Cooper and Helen Cooper,1940218330.0,2/15/15,ONE NIGHT STAND,0.0
