id,Artwork ID,Artist Last Name,Artist First Name,Artist ID,Artwork Title,Medium,Year Created,Acquisition,Acquisition Year,Image,Webpage
929,8153.0,Kneller,Sir Godfrey,310.0,Elijah and the Angel,Oil paint on canvas,1672.0,Purchased 1954,1954.0,http://www.tate.org.uk/art/images/work/N/N06/N06222_8.jpg,http://www.tate.org.uk/art/artworks/kneller-elijah-and-the-angel-n06222
930,1874.0,Butler,Reg,844.0,Girl,Bronze,1953.0,Purchased 1954,1954.0,http://www.tate.org.uk/art/images/work/N/N06/N06223_8.jpg,http://www.tate.org.uk/art/artworks/butler-girl-n06223
931,16516.0,Zadkine,Ossip,2184.0,Venus,Acacia,1922.0,Presented by F.H. Mayor as executor of the late Richard Wyndham 1954,1954.0,http://www.tate.org.uk/art/images/work/N/N06/N06226_8.jpg,http://www.tate.org.uk/art/artworks/zadkine-venus-n06226
932,12718.0,Rodin,Auguste,1860.0,The Kiss,Pentelican marble,1901.0,Purchased with assistance from the Art Fund and public contributions 1953,1953.0,http://www.tate.org.uk/art/images/work/N/N06/N06228_8.jpg,http://www.tate.org.uk/art/artworks/rodin-the-kiss-n06228
933,10523.0,Nash,John,1689.0,The Cornfield,Watercolour on paper,1918.0,Bequeathed by Sir Edward Marsh through the Contemporary Art Society 1954,1954.0,http://www.tate.org.uk/art/images/work/N/N06/N06234_8.jpg,http://www.tate.org.uk/art/artworks/nash-the-cornfield-n06234
934,7823.0,De Karlowska,Stanislawa,1385.0,Swiss Cottage,Oil paint on canvas,1914.0,Presented by the artist's family 1954,1954.0,http://www.tate.org.uk/art/images/work/N/N06/N06239_8.jpg,http://www.tate.org.uk/art/artworks/de-karlowska-swiss-cottage-n06239
935,1303.0,Bonington,Richard Parkes,41.0,"The Pont des Arts, Paris",Oil paint on board,1826.0,Bequeathed by P. Ralli 1961,1961.0,http://www.tate.org.uk/art/images/work/N/N06/N06326_8.jpg,http://www.tate.org.uk/art/artworks/bonington-the-pont-des-arts-paris-n06326
936,1836.0,Burra,Edward,837.0,Balcony,Woodcut on paper,1928.0,Presented by Redfern Gallery 1971,1971.0,http://www.tate.org.uk/art/images/work/P/P01/P01002_8.jpg,http://www.tate.org.uk/art/artworks/burra-balcony-p01002
937,1837.0,Burra,Edward,837.0,Café,Woodcut on paper,1928.0,Presented by Redfern Gallery 1971,1971.0,http://www.tate.org.uk/art/images/work/P/P01/P01003_8.jpg,http://www.tate.org.uk/art/artworks/burra-cafe-p01003
938,1964.0,Cameron,Sir David,851.0,The Admiralty,Etching on paper,1889.0,Presented by Ernest Marsh 1909,1909.0,http://www.tate.org.uk/art/images/work/P/P01/P01006_8.jpg,http://www.tate.org.uk/art/artworks/cameron-the-admiralty-p01006
