id,Date,Country,Total Confirmed Cases,Total Recovered,Total Deaths
379,Sun 6/7,Western Sahara,9,6,1
380,Sun 6/7,Yemen,484,23,112
381,Sun 6/7,Zambia,1089,912,7
382,Sun 6/7,Zimbabwe,282,34,4
383,Sun 6/14,Afghanistan,24766,4725,471
384,Sun 6/14,Albania,1521,1044,36
385,Sun 6/14,Algeria,10919,7606,767
386,Sun 6/14,Andorra,853,781,51
387,Sun 6/14,Angola,140,61,6
388,Sun 6/14,Antigua and Barbuda,26,20,3
389,Sun 6/14,Argentina,31577,9564,833
390,Sun 6/14,Armenia,16667,6214,269
391,Sun 6/14,Australia,7335,6851,102
392,Sun 6/14,Austria,17109,16059,677
393,Sun 6/14,Azerbaijan,9957,5583,119
394,Sun 6/14,Bahamas,103,68,11
395,Sun 6/14,Bahrain,18227,12818,42
396,Sun 6/14,Bangladesh,87520,18730,1171
397,Sun 6/14,Barbados,96,83,7
398,Sun 6/14,Belarus,53973,30103,308
399,Sun 6/14,Belgium,60029,16589,9655
400,Sun 6/14,Belize,20,16,2
401,Sun 6/14,Benin,442,228,6
402,Sun 6/14,Bhutan,66,21,0
403,Sun 6/14,Bolivia,18459,3113,611
404,Sun 6/14,Bosnia and Herzegovina,2893,2119,163
405,Sun 6/14,Botswana,60,24,1
406,Sun 6/14,Brazil,867624,469141,43332
407,Sun 6/14,Brunei,141,138,2
408,Sun 6/14,Bulgaria,3290,1730,174
409,Sun 6/14,Burkina Faso,894,799,53
410,Sun 6/14,Burma,261,167,6
411,Sun 6/14,Burundi,85,45,1
412,Sun 6/14,Cabo Verde,750,301,6
413,Sun 6/14,Cambodia,128,125,0
414,Sun 6/14,Cameroon,8681,4836,212
415,Sun 6/14,Canada,100404,60668,8218
416,Sun 6/14,Central African Republic,2057,363,7
417,Sun 6/14,Chad,850,720,73
418,Sun 6/14,Chile,208572,143704,3323
419,Sun 6/14,China,84335,79482,4638
420,Sun 6/14,Colombia,50939,19460,1667
421,Sun 6/14,Comoros,176,114,2
422,Sun 6/14,Congo (Brazzaville),728,221,24
423,Sun 6/14,Congo (Kinshasa),4778,600,107
424,Sun 6/14,Costa Rica,1715,752,12
425,Sun 6/14,Cote d'Ivoire,5084,2505,45
426,Sun 6/14,Croatia,2252,2134,107
427,Sun 6/14,Cuba,2248,1948,84
428,Sun 6/14,Cyprus,983,807,18
429,Sun 6/14,Czechia,10024,7226,329
430,Sun 6/14,Denmark,12393,11268,597
431,Sun 6/14,Diamond Princess,712,651,13
432,Sun 6/14,Djibouti,4465,2950,43
433,Sun 6/14,Dominica,18,16,0
434,Sun 6/14,Dominican Republic,22962,13320,592
435,Sun 6/14,Ecuador,46751,23064,3896
436,Sun 6/14,Egypt,44598,11931,1575
437,Sun 6/14,El Salvador,3720,1846,74
438,Sun 6/14,Equatorial Guinea,1306,200,12
439,Sun 6/14,Eritrea,96,39,0
440,Sun 6/14,Estonia,1973,1705,69
441,Sun 6/14,Eswatini,490,249,4
442,Sun 6/14,Ethiopia,3345,545,57
443,Sun 6/14,Fiji,18,18,0
444,Sun 6/14,Finland,7104,6200,326
445,Sun 6/14,France,194479,72982,29410
446,Sun 6/14,Gabon,3463,1024,23
447,Sun 6/14,Gambia,28,24,1
448,Sun 6/14,Georgia,864,703,14
449,Sun 6/14,Germany,187518,172089,8801
450,Sun 6/14,Ghana,11964,4258,54
451,Sun 6/14,Greece,3121,1374,183
452,Sun 6/14,Grenada,23,22,0
453,Sun 6/14,Guatemala,9845,1886,384
454,Sun 6/14,Guinea,4532,3234,25
455,Sun 6/14,Guinea-Bissau,1460,153,15
456,Sun 6/14,Guyana,159,99,12
457,Sun 6/14,Haiti,4165,24,70
458,Sun 6/14,Holy See,12,12,0
459,Sun 6/14,Honduras,8858,967,312
460,Sun 6/14,Hungary,4069,2482,562
461,Sun 6/14,Iceland,1810,1796,10
462,Sun 6/14,India,332424,169798,9520
463,Sun 6/14,Indonesia,38277,14531,2134
464,Sun 6/14,Iran,187427,148674,8837
465,Sun 6/14,Iraq,20209,8121,607
466,Sun 6/14,Ireland,25303,22698,1706
467,Sun 6/14,Israel,19055,15375,300
468,Sun 6/14,Italy,236989,176370,34345
469,Sun 6/14,Jamaica,617,420,10
470,Sun 6/14,Japan,17369,15514,927
471,Sun 6/14,Jordan,961,682,9
472,Sun 6/14,Kazakhstan,14496,9188,77
473,Sun 6/14,Kenya,3594,1253,103
474,Sun 6/14,"Korea, South",12121,10730,277
475,Sun 6/14,Kosovo,1437,928,32
476,Sun 6/14,Kuwait,35920,26759,296
477,Sun 6/14,Kyrgyzstan,2285,1791,27
478,Sun 6/14,Laos,19,19,0
479,Sun 6/14,Latvia,1097,845,28
480,Sun 6/14,Lebanon,1446,868,32
481,Sun 6/14,Lesotho,4,2,0
482,Sun 6/14,Liberia,458,219,32
483,Sun 6/14,Libya,454,63,10
484,Sun 6/14,Liechtenstein,82,81,1
485,Sun 6/14,Lithuania,1768,1427,75
486,Sun 6/14,Luxembourg,4070,3929,110
487,Sun 6/14,MS Zaandam,9,0,2
488,Sun 6/14,Madagascar,1272,367,10
489,Sun 6/14,Malawi,547,69,6
490,Sun 6/14,Malaysia,8453,7346,121
491,Sun 6/14,Maldives,2035,1311,8
492,Sun 6/14,Mali,1809,1088,104
493,Sun 6/14,Malta,649,603,9
494,Sun 6/14,Marshall Islands,0,0,0
495,Sun 6/14,Mauritania,1783,332,87
496,Sun 6/14,Mauritius,337,325,10
497,Sun 6/14,Mexico,146837,107298,17141
498,Sun 6/14,Moldova,11740,6623,406
499,Sun 6/14,Monaco,99,93,4
500,Sun 6/14,Mongolia,197,98,0
501,Sun 6/14,Montenegro,325,315,9
502,Sun 6/14,Morocco,8793,7765,212
503,Sun 6/14,Mozambique,583,151,3
504,Sun 6/14,Namibia,32,17,0
505,Sun 6/14,Nepal,5760,974,19
506,Sun 6/14,Netherlands,48990,181,6078
507,Sun 6/14,New Zealand,1504,1482,22
508,Sun 6/14,Nicaragua,1464,953,55
509,Sun 6/14,Niger,980,885,66
510,Sun 6/14,Nigeria,16085,5220,420
511,Sun 6/14,North Macedonia,4057,1710,188
512,Sun 6/14,Norway,8631,8138,242
513,Sun 6/14,Oman,23481,8454,104
514,Sun 6/14,Pakistan,144478,53721,2729
515,Sun 6/14,Panama,21418,13766,437
516,Sun 6/14,Papua New Guinea,8,8,0
517,Sun 6/14,Paraguay,1289,650,11
518,Sun 6/14,Peru,229736,115579,6688
519,Sun 6/14,Philippines,25930,5954,1088
520,Sun 6/14,Poland,29392,14226,1247
521,Sun 6/14,Portugal,36690,22669,1517
522,Sun 6/14,Qatar,79602,56898,73
523,Sun 6/14,Romania,21999,15719,1410
524,Sun 6/14,Russia,528267,279536,6938
525,Sun 6/14,Rwanda,582,332,2
526,Sun 6/14,Saint Kitts and Nevis,15,15,0
527,Sun 6/14,Saint Lucia,19,18,0
528,Sun 6/14,Saint Vincent and the Grenadines,27,25,0
529,Sun 6/14,San Marino,694,520,42
530,Sun 6/14,Sao Tome and Principe,661,177,12
531,Sun 6/14,Saudi Arabia,127541,84720,972
532,Sun 6/14,Senegal,5090,3344,60
533,Sun 6/14,Serbia,12310,11511,254
534,Sun 6/14,Seychelles,11,11,0
535,Sun 6/14,Sierra Leone,1169,680,51
536,Sun 6/14,Singapore,40604,29589,26
537,Sun 6/14,Slovakia,1548,1410,28
538,Sun 6/14,Slovenia,1495,1359,109
539,Sun 6/14,Solomon Islands,0,0,0
540,Sun 6/14,Somalia,2618,577,88
541,Sun 6/14,South Africa,70038,38531,1480
542,Sun 6/14,South Sudan,1693,49,27
543,Sun 6/14,Spain,243928,150376,27136
544,Sun 6/14,Sri Lanka,1889,1287,11
545,Sun 6/14,Sudan,7220,2610,459
546,Sun 6/14,Suriname,208,9,3
547,Sun 6/14,Sweden,51827,0,5151
548,Sun 6/14,Switzerland,31117,28800,1938
549,Sun 6/14,Syria,177,74,6
550,Sun 6/14,Taiwan*,443,431,7
551,Sun 6/14,Tajikistan,5035,3409,50
552,Sun 6/14,Tanzania,509,183,21
553,Sun 6/14,Thailand,3135,2987,58
554,Sun 6/14,Timor-Leste,24,24,0
555,Sun 6/14,Togo,530,291,13
556,Sun 6/14,Trinidad and Tobago,123,109,8
557,Sun 6/14,Tunisia,1096,998,49
558,Sun 6/14,Turkey,178239,151417,4807
559,Sun 6/14,US,2087647,561816,118629
560,Sun 6/14,Uganda,696,240,0
561,Sun 6/14,Ukraine,31851,14596,899
562,Sun 6/14,United Arab Emirates,42294,27462,289
563,Sun 6/14,United Kingdom,272857,1283,39451
564,Sun 6/14,Uruguay,848,788,23
565,Sun 6/14,Uzbekistan,5080,3943,19
566,Sun 6/14,Vanuatu,0,0,0
567,Sun 6/14,Venezuela,2978,835,25
568,Sun 6/14,Vietnam,334,323,0
569,Sun 6/14,West Bank and Gaza,492,415,3
570,Sun 6/14,Western Sahara,9,8,1
571,Sun 6/14,Yemen,728,53,164
572,Sun 6/14,Zambia,1358,1122,11
573,Sun 6/14,Zimbabwe,383,54,4
574,Sun 6/21,Afghanistan,28833,8764,581
575,Sun 6/21,Albania,1962,1134,44
576,Sun 6/21,Algeria,11771,8422,845
577,Sun 6/21,Andorra,855,792,52
578,Sun 6/21,Angola,183,77,9
579,Sun 6/21,Antigua and Barbuda,26,22,3
580,Sun 6/21,Argentina,42785,12728,1011
581,Sun 6/21,Armenia,20268,9002,350
582,Sun 6/21,Australia,7474,6903,102
583,Sun 6/21,Austria,17341,16197,690
584,Sun 6/21,Azerbaijan,12729,6799,154
585,Sun 6/21,Bahamas,104,77,11
586,Sun 6/21,Bahrain,21764,16419,63
587,Sun 6/21,Bangladesh,112306,45077,1464
588,Sun 6/21,Barbados,97,85,7
589,Sun 6/21,Belarus,58505,37666,346
590,Sun 6/21,Belgium,60550,16771,9696
591,Sun 6/21,Belize,22,17,2
592,Sun 6/21,Benin,765,253,13
593,Sun 6/21,Bhutan,68,30,0
594,Sun 6/21,Bolivia,24388,5454,773
595,Sun 6/21,Bosnia and Herzegovina,3273,2241,169
596,Sun 6/21,Botswana,89,25,1
597,Sun 6/21,Brazil,1083341,588118,50591
598,Sun 6/21,Brunei,141,138,3
