id,Date,State,Total Confirmed Cases,Total Deaths
340,Tue 9/1,Florida,631032,11373
341,Tue 9/1,Georgia,256544,5604
342,Tue 9/1,Guam,2416,14
343,Tue 9/1,Hawaii,8628,73
344,Tue 9/1,Idaho,32703,370
345,Tue 9/1,Illinois,239115,8299
346,Tue 9/1,Indiana,96988,3312
347,Tue 9/1,Iowa,65846,1125
348,Tue 9/1,Kansas,43491,454
349,Tue 9/1,Kentucky,51762,983
350,Tue 9/1,Louisiana,149583,4984
351,Tue 9/1,Maine,4548,132
352,Tue 9/1,Maryland,109353,3761
353,Tue 9/1,Massachusetts,128888,9064
354,Tue 9/1,Michigan,113969,6770
355,Tue 9/1,Minnesota,76404,1872
356,Tue 9/1,Mississippi,83584,2493
357,Tue 9/1,Missouri,87414,1651
358,Tue 9/1,Montana,7526,105
359,Tue 9/1,Nebraska,34574,405
360,Tue 9/1,Nevada,69708,1313
361,Tue 9/1,New Hampshire,7297,432
362,Tue 9/1,New Jersey,194070,15950
363,Tue 9/1,New Mexico,25460,787
364,Tue 9/1,New York,440237,32551
365,Tue 9/1,North Carolina,169966,2769
366,Tue 9/1,North Dakota,12004,149
367,Tue 9/1,Northern Mariana Islands,57,2
368,Tue 9/1,Ohio,124610,4165
369,Tue 9/1,Oklahoma,59399,809
370,Tue 9/1,Oregon,26958,467
371,Tue 9/1,Pennsylvania,139591,7764
372,Tue 9/1,Puerto Rico,33421,435
373,Tue 9/1,Rhode Island,22002,1050
374,Tue 9/1,South Carolina,119846,2757
375,Tue 9/1,South Dakota,13749,167
376,Tue 9/1,Tennessee,153274,1753
377,Tue 9/1,Texas,645534,13004
378,Tue 9/1,Utah,52505,410
379,Tue 9/1,Vermont,1635,58
380,Tue 9/1,Virgin Islands,1143,15
381,Tue 9/1,Virginia,121615,2612
382,Tue 9/1,Washington,78061,2018
383,Tue 9/1,West Virginia,10507,222
384,Tue 9/1,Wisconsin,81688,1141
385,Tue 9/1,Wyoming,3866,41
386,Wed 9/2,Alabama,128239,2217
387,Wed 9/2,Alaska,6181,36
388,Wed 9/2,Arizona,202898,5070
389,Wed 9/2,Arkansas,62112,841
390,Wed 9/2,California,722035,13330
391,Wed 9/2,Colorado,58392,1960
392,Wed 9/2,Connecticut,53108,4467
393,Wed 9/2,Delaware,17549,606
394,Wed 9/2,District of Columbia,14077,608
395,Wed 9/2,Florida,633434,11500
396,Wed 9/2,Georgia,258482,5665
397,Wed 9/2,Guam,2463,14
398,Wed 9/2,Hawaii,8966,74
399,Wed 9/2,Idaho,33059,374
400,Wed 9/2,Illinois,241282,8322
401,Wed 9/2,Indiana,97853,3325
402,Wed 9/2,Iowa,66463,1134
403,Wed 9/2,Kansas,44529,458
404,Wed 9/2,Kentucky,52704,1008
405,Wed 9/2,Louisiana,150734,5004
406,Wed 9/2,Maine,4567,133
407,Wed 9/2,Maryland,109808,3766
408,Wed 9/2,Massachusetts,121131,9060
409,Wed 9/2,Michigan,114603,6783
410,Wed 9/2,Minnesota,77137,1882
411,Wed 9/2,Mississippi,84365,2526
412,Wed 9/2,Missouri,88974,1669
413,Wed 9/2,Montana,7715,109
414,Wed 9/2,Nebraska,34995,408
415,Wed 9/2,Nevada,69927,1338
416,Wed 9/2,New Hampshire,7309,432
417,Wed 9/2,New Jersey,194378,15964
418,Wed 9/2,New Mexico,25612,790
419,Wed 9/2,New York,440947,32559
420,Wed 9/2,North Carolina,171140,2806
421,Wed 9/2,North Dakota,12271,152
422,Wed 9/2,Northern Mariana Islands,57,2
423,Wed 9/2,Ohio,125767,4176
424,Wed 9/2,Oklahoma,60118,821
425,Wed 9/2,Oregon,27085,473
426,Wed 9/2,Pennsylvania,140577,7792
427,Wed 9/2,Puerto Rico,34003,443
428,Wed 9/2,Rhode Island,22078,1051
429,Wed 9/2,South Carolina,120503,2794
430,Wed 9/2,South Dakota,14003,169
431,Wed 9/2,Tennessee,154833,1768
432,Wed 9/2,Texas,649844,13185
433,Wed 9/2,Utah,52950,414
434,Wed 9/2,Vermont,1637,58
435,Wed 9/2,Virgin Islands,1144,15
436,Wed 9/2,Virginia,122542,2641
437,Wed 9/2,Washington,78554,2025
438,Wed 9/2,West Virginia,10642,230
439,Wed 9/2,Wisconsin,82261,1151
440,Wed 9/2,Wyoming,3911,41
441,Thu 9/3,Alabama,129285,2233
442,Thu 9/3,Alaska,6287,37
443,Thu 9/3,Arizona,203964,5133
444,Thu 9/3,Arkansas,63504,861
445,Thu 9/3,California,727398,13497
446,Thu 9/3,Colorado,58680,1963
447,Thu 9/3,Connecticut,53209,4468
448,Thu 9/3,Delaware,17653,606
449,Thu 9/3,District of Columbia,14135,609
450,Thu 9/3,Florida,637005,11649
451,Thu 9/3,Georgia,261056,5735
452,Thu 9/3,Guam,2529,14
453,Thu 9/3,Hawaii,9177,78
454,Thu 9/3,Idaho,33361,375
455,Thu 9/3,Illinois,242715,8347
456,Thu 9/3,Indiana,98971,3332
457,Thu 9/3,Iowa,67693,1137
458,Thu 9/3,Kansas,44755,475
459,Thu 9/3,Kentucky,54067,1021
460,Thu 9/3,Louisiana,151547,5021
461,Thu 9/3,Maine,4617,133
462,Thu 9/3,Maryland,110504,3778
463,Thu 9/3,Massachusetts,121546,9077
464,Thu 9/3,Michigan,115393,6794
465,Thu 9/3,Minnesota,78175,1889
466,Thu 9/3,Mississippi,85116,2536
467,Thu 9/3,Missouri,90392,1680
468,Thu 9/3,Montana,7903,111
469,Thu 9/3,Nebraska,35469,410
470,Thu 9/3,Nevada,70319,1366
471,Thu 9/3,New Hampshire,7347,432
472,Thu 9/3,New Jersey,194756,15971
473,Thu 9/3,New Mexico,25812,791
474,Thu 9/3,New York,441835,32567
475,Thu 9/3,North Carolina,172791,2829
476,Thu 9/3,North Dakota,12633,154
477,Thu 9/3,Northern Mariana Islands,57,2
478,Thu 9/3,Ohio,127112,4226
479,Thu 9/3,Oklahoma,61027,835
480,Thu 9/3,Oregon,27356,475
481,Thu 9/3,Pennsylvania,141578,7805
482,Thu 9/3,Puerto Rico,34198,448
483,Thu 9/3,Rhode Island,22143,1055
484,Thu 9/3,South Carolina,121696,2807
485,Thu 9/3,South Dakota,14337,169
486,Thu 9/3,Tennessee,157028,1791
487,Thu 9/3,Texas,653321,13387
488,Thu 9/3,Utah,53412,416
