id,Rollercoaster Name,Amusement Park,City,Country,Region,Construction Material,Height,Speed,Length,Inversion,Number of Inversions,Year Opened
128,Poseidon,Europa Park,"Rust, Baden Wuerttemberg",Germany,Europe,Steel,23.0,70.0,836.0,No,0.0,2000.0
129,Iron Dragon,Cedar Point,Sandusky,USA,North America,Steel,23.1648,64.8,853.44,No,0.0,1987.0
130,Hoosier Hurricane,Indiana Beach,Monticello,USA,North America,Wood,23.4696,82.62,881.177,No,0.0,1994.0
131,Blue Streak,Cedar Point,Sandusky,USA,North America,Wood,23.7744,64.8,779.678,No,0.0,1964.0
132,Flight Deck,Kings Island,Kings Mills,USA,North America,Steel,23.7744,82.62,716.89,No,0.0,1993.0
133,Poltergeist,Six Flags Fiesta Texas,San Antonio,USA,North America,Steel,23.7744,97.2,824.484,Yes,4.0,1999.0
134,Raven,Holiday World,Santa Claus,USA,North America,Wood,24.384,77.76,853.44,No,0.0,1995.0
135,Rock 'n' Roller Coaster,Disneyland Resort Paris - Walt Disney Studios Park,"Marne la Vallee, Ile-de-France",France,Europe,Steel,24.4,92.0,"1,037.20",Yes,3.0,2002.0
136,El Toro,Freizeitpark Plohn,"Lengenfeld, Saxony",Germany,Europe,Wood,24.5,73.4,725.1,No,0.0,2009.0
137,Eurosat,Europa Park,"Rust, Baden Wuerttemberg",Germany,Europe,Steel,25.5,60.0,900.0,No,0.0,1989.0
138,Corkscrew,Cedar Point,Sandusky,USA,North America,Steel,25.908,77.76,624.84,Yes,3.0,1976.0
139,Colorado Adventure,Phantasialand,"Bruhl, North Rhine-Westphalia",Germany,Europe,Steel,26.0,50.0,"1,280",No,0.0,1996.0
140,Nessie Superrollercoaster,Hansa Park,"Sierksdorf, Schleswig-Holstein",Germany,Europe,Steel,26.0,79.0,741.0,Yes,1.0,1979.0
141,Wicked Twister,Cedar Point,Sandusky,USA,North America,Steel,65.532,116.64,205.74,No,0.0,2002.0
142,Schweizer Bobbahn,Heide-Park Soltau,"Soltau, Lower Saxony",Germany,Europe,Steel,27.0,53.0,990.0,No,0.0,1994.0
