id,Volcano Name,Country,Type,Last Known Eruption,Region,Latitude,Longitude,Elevation,Dominant Rock Type,Tectonic Setting
557,Adams,United States,Stratovolcano,950 CE,USA (Washington),46.21,-121.49,3742.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
558,St. Helens,United States,Stratovolcano,2008 CE,USA (Washington),46.2,-122.18,2549.0,Dacite,Subduction zone / Continental crust (>25 km)
559,West Crater,United States,Volcanic field,5750 BCE,USA (Washington),45.88,-122.08,1329.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
560,Indian Heaven,United States,Shield(s),6250 BCE,USA (Washington),45.93,-121.82,1806.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
561,Hood,United States,Stratovolcano,1866 CE,USA (Oregon),45.37,-121.7,3426.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
562,Jefferson,United States,Stratovolcano,950 CE,USA (Oregon),44.67,-121.8,3199.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
563,Blue Lake Crater,United States,Maar,680 CE,USA (Oregon),44.41,-121.77,1230.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
564,Sand Mountain Field,United States,Pyroclastic cone(s),950 BCE,USA (Oregon),44.38,-121.93,1664.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
565,Belknap,United States,Shield(s),480 CE,USA (Oregon),44.29,-121.84,2095.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
566,Three Sisters,United States,Complex,440 CE,USA (Oregon),44.13,-121.77,3159.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
567,Bachelor,United States,Stratovolcano,5800 BCE,USA (Oregon),43.98,-121.69,2763.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
568,Davis Lake,United States,Volcanic field,2790 BCE,USA (Oregon),43.57,-121.82,2163.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
569,Newberry,United States,Shield,690 CE,USA (Oregon),43.72,-121.23,2434.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
570,Crater Lake,United States,Caldera,2850 BCE,USA (Oregon),42.93,-122.12,2487.0,Dacite,Subduction zone / Continental crust (>25 km)
571,Diamond Craters,United States,Volcanic field,5610 BCE,USA (Oregon),43.1,-118.75,1435.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
572,Jordan Craters,United States,Volcanic field,1250 BCE,USA (Oregon),43.15,-117.46,1473.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
573,Shasta,United States,Stratovolcano,1250 CE,USA (California),41.41,-122.19,4317.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
574,Medicine Lake,United States,Shield,1060 CE,USA (California),41.61,-121.55,2412.0,Basalt / Picro-Basalt,Subduction zone / Continental crust (>25 km)
575,Lassen Volcanic Center,United States,Stratovolcano,1917 CE,USA (California),40.49,-121.51,3187.0,Andesite / Basaltic Andesite,Subduction zone / Continental crust (>25 km)
576,Mono Lake Volcanic Field,United States,Pyroclastic cone(s),1790 CE,USA (California),38.0,-119.03,2121.0,Dacite,Rift zone / Continental crust (>25 km)
577,Mono-Inyo Craters,United States,Lava dome(s),1380 CE,USA (California),37.8,-119.03,2796.0,Rhyolite,Rift zone / Continental crust (>25 km)
578,Mammoth Mountain,United States,Lava dome(s),1260 CE,USA (California),37.63,-119.03,3369.0,Trachyte / Trachydacite,Rift zone / Continental crust (>25 km)
579,Ubehebe Craters,United States,Maar(s),150 BCE,USA (California),37.02,-117.45,752.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
580,Golden Trout Creek,United States,Volcanic field,5550 BCE,USA (California),36.36,-118.32,2886.0,Basalt / Picro-Basalt,Rift zone / Continental crust (>25 km)
