id,Period Number,Name,Symbol,Atomic Number,Atomic Weight,Melting Point,Boiling Point,Density,Phase at Room Temperature,Element Classification,Group,Uses
17,3.0,Chlorine,Cl,17.0,35.4527,-150.7,-29.27,0.003214,Gas,Non-metal,Halogens,"Swimming Pools, Salt, Acid, Disinfectant"
18,3.0,Argon,Ar,18.0,39.948,-308.83,-302.53,0.0017837,Gas,Non-metal,Noble Gas,"Light Bulbs, Lasers"
19,4.0,Potassium,K,19.0,39.0983,146.08,1398.0,0.89,Solid,Metal,Alkali Metals,"Fruits, Vegetables, Salt, Fertilizer, Soap, Matches, Gunpowder"
20,4.0,Calcium,Ca,20.0,40.078,1548.0,2703.0,1.54,Solid,Metal,Alkali Earth Metals,"Shells, Bones, Milk, Cement"
21,4.0,Scandium,Sc,21.0,44.955908,2806.0,5137.0,2.99,Solid,Metal,Transition Metals,"Aluminum Alloys, Racing Bikes"
22,4.0,Titanium,Ti,22.0,47.867,3034.0,5949.0,4.5,Solid,Metal,Transition Metals,"Racing Bikes, Artifical Joints"
23,4.0,Vanadium,V,23.0,50.9415,3470.0,6165.0,6.0,Solid,Metal,Transition Metals,"Springs, Steel"
24,4.0,Chromium,Cr,24.0,51.9961,3465.0,4840.0,7.15,Solid,Metal,Transition Metals,"Stainless Steel, Kitchenware, Paints"
25,4.0,Manganese,Mn,25.0,54.938044,2275.0,3742.0,7.3,Solid,Metal,Transition Metals,"Construction Vehicles, Fertilizer, Batteries, Axes"
26,4.0,Iron,Fe,26.0,55.845,2800.0,5182.0,7.874,Solid,Metal,Transition Metals,"Steel Alloys, Magnets, Earth's Core, Blood"
27,4.0,Cobalt,Co,27.0,58.933194,2723.0,5301.0,8.86,Solid,Metal,Transition Metals,"Magnets, Turbines"
28,4.0,Nickel,Ni,28.0,58.6934,2651.0,5275.0,8.912,Solid,Metal,Transition Metals,"Coins, Stainless Steel, Kitchenware, Earth's Core"
29,4.0,Copper,Cu,29.0,63.546,1984.32,4644.0,8.933,Solid,Metal,Transition Metals,"Electric Wires, Kitchenware, Brass, Bronze, Coins, Pipes"
30,4.0,Zinc,Zn,30.0,65.38,787.15,1655.0,7.134,Solid,Metal,Transition Metals,Brass Instruments
31,4.0,Gallium,Ga,31.0,69.723,85.57,3999.0,5.91,Solid,Metal,Poor Metals,"LEDs, Tiny Lasers"
32,4.0,Germanium,Ge,32.0,72.63,1720.85,5131.0,5.323,Solid,Semi-metal,Poor Metals,"Semiconductor Electronics, Infrared Windows"
33,4.0,Arsenic,As,33.0,74.921595,1503.0,1137.0,5.776,Solid,Semi-metal,Metalloids,"Poison, Semiconductor Electronics, Tiny Lasers"
34,4.0,Selenium,Se,34.0,78.971,428.9,1265.0,4.809,Solid,Non-metal,Non-metal,"Copier Machines, Rubber"
35,4.0,Bromine,Br,35.0,79.904,19.0,137.8,3.11,Liquid,Non-metal,Halogens,"Photography Film, Disinfectant, Swimming Pools"
36,4.0,Krypton,Kr,36.0,83.798,-251.25,-243.8,0.003733,Gas,Non-metal,Noble Gas,"Flashlights, Laser"
37,5.0,Rubidum,Rb,37.0,85.4678,102.76,1270.0,1.53,Solid,Metal,Alkali Metals,"Global Navigation, Vacuum Tube"
38,5.0,Strontium,Sr,38.0,87.62,1431.0,2520.0,2.64,Solid,Metal,Alkali Earth Metals,"Fireworks, Nuclear Batteries"
39,5.0,Yttrium,Y,39.0,88.90584,2772.0,6053.0,4.47,Solid,Metal,Transition Metals,"Lasers, Furnace Bricks"
40,5.0,Zirconium,Zr,40.0,91.224,3371.0,7968.0,6.52,Solid,Metal,Transition Metals,"Chemical Pipelines, Nuclear Reactors, Furnace Bricks"
41,5.0,Niobium,Nb,41.0,92.90637,4491.0,8571.0,8.57,Solid,Metal,Transition Metals,"Magnetic Levitation Trains, Chemical Pipelines"
42,5.0,Molybdenum,Mo,42.0,95.95,4753.0,8382.0,10.2,Solid,Metal,Transition Metals,"Scissors, Drill Bits, Fertilizer"
43,5.0,Technetium,Tc,43.0,98.0,3915.0,7709.0,11.0,Solid,Metal,Transition Metals,Stars
44,5.0,Ruthenium,Ru,44.0,101.07,4233.0,7502.0,12.1,Solid,Metal,Transition Metals,"Electric Switches, Pen Points"
45,5.0,Rhodium,Rh,45.0,102.9055,3567.0,6683.0,12.4,Solid,Metal,Transition Metals,"Searchlight Reflectors, Labware, Pollution Contro"
46,5.0,Palladium,Pd,46.0,106.42,2830.8,5365.0,12.0,Solid,Metal,Transition Metals,"Pollution Control, Labware, Dentistry"
47,5.0,Silver,Ag,47.0,107.8682,1763.2,3924.0,10.501,Solid,Metal,Transition Metals,"Jewerly, Silverware, Coins, Dentistry, Photography Film"
48,5.0,Cadmium,Cd,48.0,112.414,609.93,1413.0,8.69,Solid,Metal,Transition Metals,"Paint, Fire Sprinklers"
