id,Name,Date of birth / death,Occupation(s),Inventions / accomplishments
109,"Walker, Arthur B. C., Jr.",1936–2001,Astronomer,Developed normal incidence multilayer XUV telescopes to photograph the solar corona
110,"Walker, C. J.",1867–1919,Inventor,Created black cosmetic products
111,"Washington, Warren M.",1936–,Atmospheric scientist,Former chair of the National Science Board
112,"West, James E.",1931–,"Acoustician, inventor",Co-developed the foil electret microphone
113,"Wilkins, J. Ernest, Jr.",1923–2011,"Mathematician, engineer, nuclear scientist",Entered University of Chicago at age 13; PhD at 19; worked on the Manhattan Project; wrote over 100 scientific papers; helped recruit minorities into the sciences
114,"Williams, Daniel",1856–1931,Surgeon,The first black person on record to have successfully performed pericardium (the sac surrounding the heart) surgery to repair a wound.
115,"Woods, Granville",1856–1910,Inventor,Invented the synchronous multiplex railway telegraph
116,"Wright, Jane C.",1919–2013,Cancer research and surgeon,Noted for her contributions to chemotherapy and for pioneering the use of the drug methotrexate to treat breast cancer and skin cancer
117,"Wright, Louis T.",1891–1952,Surgeon,Led team that first used Aureomycin as a treatment on humans
118,"Young, Roger Arliner",1899–1964,Zoologist,First African-American woman to receive a doctorate degree in zoology
