id,Lab 0A,Lab 0B,Lab 1 Worksheet,Lab 2A,Lab 2B,Lab 3A,Lab 3B,Lab 4A,Lab 4B,Lab 5A,Lab 5B,Lab 6A,Lab 6B,Lab 7A,Lab 7B,Lab 8A,Lab 8B,Lab 9A,Lab 9B,Lab 10A,Lab 10B,Lab 11A,Lab 11B,CS135 ABET Direct Assessment,ABET Quiz Participation Points,Research Current Score,Research Unposted Current Score,Research Final Score,Research Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,ABET Current Score,ABET Unposted Current Score,ABET Final Score,ABET Unposted Final Score,ABET Participation Points Current Score,ABET Participation Points Unposted Current Score,ABET Participation Points Final Score,ABET Participation Points Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score,Group
df1347818c858bdd44a2886e4198ebbb95ade474afc6dbc8680c820876c28991,100,100,98,92.23,91.27,100,98.63,84.8,96.5,100,100,100,60.5,,,,,,,,,,,,,,,,,93.13,93.13,40.03,40.03,,,0,0,,,0,0,93.13,93.13,38.03,38.03,G1
2abc3e9d8952f50d2d300105a8661282e5cef2de44f95a279c4877a444d0aed7,100,100,80,97,96.5,98.51,72.17,100,100,65.18,100,100,100,,,,,,,,,,,,,,,,,92.27,92.27,39.66,39.66,,,0,0,,,0,0,92.27,92.27,37.68,37.68,G1
ab27a22af35872a53d0f79b8f640801a30e5369ac6f4423409355e5732aa486f,0,0,88,44.5,86,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,16.97,16.97,7.29,7.29,,,0,0,,,0,0,16.97,16.97,6.93,6.93,G1
cbe41ce3b3813d545fc815d6a2a943cd03ae18cb03ff68f8c2dc0afc7af6aa9e,100,100,76,75.5,71.7,100,100,95,100,100,100,99,100,,,,,,,,,,,,,,,,,93.81,93.81,40.32,40.32,,,0,0,,,0,0,93.81,93.81,38.3,38.3,G1
78570677bbee14574538bb369f773a60f58561191de10102d86dcc5d538d286f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e08561fcaf3797028619b0f6d175d4e9215323f5d7df869c1b782bfcb9b8a575,100,100,76,99.73,76.7,98.17,98.17,100,95,100,97.27,100,100,,,,,,,,,,,,,,,,,95.19,95.19,40.92,40.92,,,0,0,,,0,0,95.19,95.19,38.87,38.87,G1
818f22bcb2eff84c4136cf8b332d32a3e1b7cee5652f61952845c68b5c8aeeb3,100,100,65,87,69.8,100,100,95,95,70.13,41.87,100,100,,,,,,,,,,,,,,,,,84.89,84.89,36.49,36.49,,,0,0,,,0,0,84.89,84.89,34.66,34.66,G1
cb63163cd5645af3537bdc37bb9cf958857895b04946ca70ccbd8152f23695df,100,100,74,88,96.5,100,85,97,100,98.18,98.64,87.76,58,,,,,,,,,,,,,,,,,89.25,89.25,38.36,38.36,,,0,0,,,0,0,89.25,89.25,36.45,36.45,G1
6a198b0aa74775115fb0333cecc01eb37c61a09ecf07dce5fded500e924989f2,100,0,94,95.5,0,100,82,95.75,99.3,100,98.64,0,0,,,,,,,,,,,,,,,,,66.68,66.68,28.66,28.66,,,0,0,,,0,0,66.68,66.68,27.23,27.23,G1
c421854109c8319c7f9fec8ea87bad9ef8f6cccb48c3f19452469411147c4b38,100,100,94,0,95.5,100,52.89,82.5,99.5,100,100,100,96.5,,,,,,,,,,,,,,,,,87.8,87.8,37.74,37.74,,,0,0,,,0,0,87.8,87.8,35.85,35.85,G1
e15746f55974edee67794a7153e871758e3e94fc9d53e6cc13111b1286a88e4d,100,100,94,92,96.23,100,100,100,100,100,0,100,0,,,,,,,,,,,,,,,,,79.28,79.28,34.08,34.08,,,0,0,,,0,0,79.28,79.28,32.37,32.37,G1
