id,Provider,Location,Latitude,Longitude,Access Location,Borough,Neighborhood,Postal Code
1546,LinkNYC - Citybridge,87-15 ROOSEVELT AVENUE,40.75,-73.88,Outdoor Kiosk,Queens,Jackson Heights,11372.0
1547,LinkNYC - Citybridge,82-03 ROOSEVELT AVENUE,40.75,-73.88,Outdoor Kiosk,Queens,Jackson Heights,11372.0
1548,LinkNYC - Citybridge,81-03 ROOSEVELT AVENUE,40.75,-73.88,Outdoor Kiosk,Queens,Jackson Heights,11372.0
1549,LinkNYC - Citybridge,77-01 ROOSEVELT AVENUE,40.75,-73.89,Outdoor Kiosk,Queens,Jackson Heights,11372.0
1550,LinkNYC - Citybridge,95-31 ROOSEVELT AVENUE,40.75,-73.87,Outdoor Kiosk,Queens,Jackson Heights,11372.0
1551,LinkNYC - Citybridge,37-69 78 STREET,40.75,-73.89,Outdoor Kiosk,Queens,Jackson Heights,11372.0
1552,LinkNYC - Citybridge,72-01 ROOSEVELT AVENUE,40.75,-73.89,Outdoor Kiosk,Queens,Elmhurst-Maspeth,11372.0
1553,LinkNYC - Citybridge,72-30 ROOSEVELT AVENUE,40.75,-73.89,Outdoor Kiosk,Queens,Elmhurst-Maspeth,11372.0
1554,LinkNYC - Citybridge,95-36 ROOSEVELT AVENUE,40.75,-73.87,Outdoor Kiosk,Queens,Elmhurst,11372.0
1555,LinkNYC - Citybridge,89-02 Queens Blvd,40.73,-73.87,Outdoor Kiosk,Queens,Elmhurst,11373.0
1556,LinkNYC - Citybridge,77-20 QUEENS BLVD,40.74,-73.89,Outdoor Kiosk,Queens,Elmhurst-Maspeth,11373.0
1557,LinkNYC - Citybridge,90-02 ROOSEVELT AVENUE,40.75,-73.88,Outdoor Kiosk,Queens,Elmhurst,11372.0
1558,LinkNYC - Citybridge,81-18 ROOSEVELT AVENUE,40.75,-73.88,Outdoor Kiosk,Queens,Elmhurst,11372.0
1559,LinkNYC - Citybridge,80-20 ROOSEVELT AVENUE,40.75,-73.88,Outdoor Kiosk,Queens,Elmhurst,11372.0
1560,LinkNYC - Citybridge,77-06 Queens Blvd,40.74,-73.89,Outdoor Kiosk,Queens,Elmhurst-Maspeth,11373.0
1561,LinkNYC - Citybridge,73-02 ROOSEVELT AVENUE,40.75,-73.89,Outdoor Kiosk,Queens,Elmhurst-Maspeth,11372.0
1562,LinkNYC - Citybridge,40-02 73 STREET,40.75,-73.89,Outdoor Kiosk,Queens,Elmhurst-Maspeth,11377.0
1563,LinkNYC - Citybridge,74-04 ROOSEVELT AVENUE,40.75,-73.89,Outdoor Kiosk,Queens,Elmhurst,11372.0
1564,LinkNYC - Citybridge,77-14 ROOSEVELT AVENUE,40.75,-73.89,Outdoor Kiosk,Queens,Elmhurst,11372.0
1565,LinkNYC - Citybridge,94-26 ROOSEVELT AVENUE,40.75,-73.87,Outdoor Kiosk,Queens,Elmhurst,11372.0
1566,LinkNYC - Citybridge,76-22 ROOSEVELT AVENUE,40.75,-73.89,Outdoor Kiosk,Queens,Elmhurst,11372.0
1567,LinkNYC - Citybridge,75-20 ROOSEVELT AVENUE,40.75,-73.89,Outdoor Kiosk,Queens,Elmhurst,11372.0
1568,LinkNYC - Citybridge,82-10 QUEENS BLVD,40.74,-73.88,Outdoor Kiosk,Queens,Elmhurst-Maspeth,11373.0
1569,LinkNYC - Citybridge,86-10 Queens Blvd,40.74,-73.88,Outdoor Kiosk,Queens,Elmhurst,11373.0
1570,LinkNYC - Citybridge,90-20 Queens Blvd,40.73,-73.87,Outdoor Kiosk,Queens,Elmhurst,11373.0
1571,Harlem,2411FDB,40.81,-73.95,Outdoor,Manhattan,Central Harlem North-Polo Grounds,10027.0
1572,LinkNYC - Citybridge,89-30 Queens Blvd,40.73,-73.87,Outdoor Kiosk,Queens,Elmhurst,11373.0
