id,Lab 0A,Lab 0B,Lab 1 Worksheet,Lab 2A,Lab 2B,Lab 3A,Lab 3B,Lab 4A,Lab 4B,Lab 5A,Lab 5B,Lab 6A,Lab 6B,Lab 7A,Lab 7B,Lab 8A,Lab 8B,Lab 9A,Lab 9B,Lab 10A,Lab 10B,Lab 11A,Lab 11B,CS135 ABET Direct Assessment,ABET Quiz Participation Points,Research Current Score,Research Unposted Current Score,Research Final Score,Research Unposted Final Score,Labs Current Score,Labs Unposted Current Score,Labs Final Score,Labs Unposted Final Score,ABET Current Score,ABET Unposted Current Score,ABET Final Score,ABET Unposted Final Score,ABET Participation Points Current Score,ABET Participation Points Unposted Current Score,ABET Participation Points Final Score,ABET Participation Points Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
fa5eaf202a660a97e749953ed1df1ac47ea642597a41afd6ce0e8afd9f9f6390,100,100,82,100,100,96.49,51.09,100,100,100,100,100,100,,,,,,,,,,,,,,,,,94.42,94.42,40.58,40.58,,,0,0,,,0,0,94.42,94.42,38.55,38.55
5d6905663b0fbe73e9e2859e1250f0e107faaa8bcc54dc1fee6e681dab2cba61,100,100,94,100,100,96.26,99.49,100,100,100,100,95.9,80.06,,,,,,,,,,,,,,,,,96.63,96.63,41.53,41.53,,,0,0,,,0,0,96.63,96.63,39.46,39.46
c48451be64ff7b45688ed6f6938dd84cad2c9b626b3476aa8a2a1f57aa2c8b1f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80197d700e19eb0ed78dd68a3810946a8e3f0e4a166a69aa5f3b67e2ccefb032,100,100,90,98.63,99.53,96.49,100,93.1,99.1,100,96.51,97.72,95.46,,,,,,,,,,,,,,,,,96.96,96.96,41.68,41.68,,,0,0,,,0,0,96.96,96.96,39.59,39.59
6fc305ac0a824aa8b665ee3d94ddcd610086db5c9bb4783270e392e3851ef560,100,100,100,100,100,100,94.49,100,0,100,0,95.9,98.64,,,,,,,,,,,,,,,,,81.7,81.7,35.12,35.12,,,0,0,,,0,0,81.7,81.7,33.36,33.36
bfc0cfa9901b57121d82ab8ee334fb278c28633d1dfc24ea56427a0a5640f0fe,100,100,100,100,100,89.26,95,100,100,99.24,100,100,100,,,,,,,,,,,,,,,,,98.81,98.81,42.47,42.47,,,0,0,,,0,0,98.81,98.81,40.35,40.35
d5d8dd4093187a01416d4954c39f054d421946ca06b916685628e0202c50e23b,100,100,88,100,100,95.11,18.51,100,100,100,89.51,94.1,70.14,,,,,,,,,,,,,,,,,87.99,87.99,37.82,37.82,,,0,0,,,0,0,87.99,87.99,35.93,35.93
ae2bc53f6711f37d9b3e21b21c4b9b7f4659756d7d167c9b7108c4698a6f0a97,100,100,82,62.6,97,92.51,0,100,100,100,97.76,100,100,,,,,,,,,,,,,,,,,87.8,87.8,37.74,37.74,,,0,0,,,0,0,87.8,87.8,35.85,35.85
be10c51a634bda1f6d507e609ef6796de7f80cf421da281f091a1b9ba1f72358,100,100,88,100,100,100,100,100,100,0,100,0,0,,,,,,,,,,,,,,,,,69.18,69.18,29.74,29.74,,,0,0,,,0,0,69.18,69.18,28.25,28.25
cce7ed19196e1b13c0d48af2bf1d151e4fa2d2e0b66a2d1fdb2eca0844dc20a3,100,100,90,100,100,96.26,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,98.71,98.71,42.43,42.43,,,0,0,,,0,0,98.71,98.71,40.31,40.31
