id,Year,Category,Nominee
331,1968.0,"Best Album Cover, Graphic Arts",Sgt. Pepper's Lonely Hearts Club Band
332,1968.0,"Best Album Cover, Photography",Bob Dylan's Greatest Hits
333,1968.0,Best Album Notes,Suburban Attitudes In Country Verse
334,1968.0,Best Arrangement Accompanying Vocalist(s) or Instrumentalist(s),Ode To Billie Joe
335,1968.0,Best Chamber Music Performance,West Meets East
336,1968.0,Best Classical Choral Performance (other than opera),Mahler: Symphony No. 8 In E Flat Major (Symphony Of A Thousand)
337,1968.0,Best Classical Performance - Instrumental Soloist or Soloists (with or without orchestra),"Horowitz In Concert (Haydn, Schumann, Scriabin, Debussy, Mozart, Chopin)"
338,1968.0,Best Classical Performance - Orchestra,Stravinsky: Firebird And Petrouchka Suites
339,1968.0,Best Classical Vocal Soloist Performance,"Prima Donna, Volume 2"
340,1968.0,Best Comedy Recording,Revenge
341,1968.0,Best Contemporary Album,Sgt. Pepper's Lonely Hearts Club Band
342,1968.0,Best Contemporary Female Solo Vocal Performance,Ode To Billie Joe
343,1968.0,Best Contemporary Group Performance (Vocal or Instrumental),"Up, Up And Away"
344,1968.0,Best Contemporary Male Solo Vocal Performance,By The Time I Get To Phoenix
345,1968.0,Best Contemporary Single,"Up, Up And Away"
346,1968.0,"Best Country & Western Performance Duet, Trio or Group (Vocal or Instrumental)",Jackson
347,1968.0,Best Country & Western Recording,Gentle On My Mind
348,1968.0,"Best Country & Western Solo Vocal Performance, Female",I Don't Wanna Play House
349,1968.0,"Best Country & Western Solo Vocal Performance, Male",Gentle On My Mind
350,1968.0,Best Country & Western Song,Gentle On My Mind
351,1968.0,Best Engineered Recording - Non-Classical,Sgt. Pepper's Lonely Hearts Club Band
352,1968.0,"Best Engineered Recording, Classical",The Glorious Sound Of Brass
353,1968.0,Best Folk Performance,Gentle On My Mind
354,1968.0,Best Gospel Performance,More Grand Old Gospel
355,1968.0,Best Instrumental Arrangement,Alfie
356,1968.0,"Best Instrumental Jazz Performance, Large Group or Soloist with Large Group",Far East Suite
357,1968.0,"Best Instrumental Jazz Performance, Small Group or Soloist With Small Group","Mercy, Mercy, Mercy"
358,1968.0,Best Instrumental Performance,Chet Atkins Picks The Best
359,1968.0,Best Instrumental Theme,Mission: Impossible
360,1968.0,Best New Artist,Bobbie Gentry (artist)
361,1968.0,Best Opera Recording,Berg: Wozzeck
362,1968.0,Best Original Score Written for a Motion Picture or Television Show,Mission: Impossible
363,1968.0,Best Original Score Written for a Motion Picture or a Television Show,Mission: Impossible
364,1968.0,Best Performance by a Chorus,"Up, Up And Away"
365,1968.0,Best Performance by a Vocal Group,"Up, Up And Away"
366,1968.0,Best Recording for Children,It looks like a bloody doorstop. He left the award by the foot of Kennard's office door when he left.
367,1968.0,"Best Rhythm & Blues Group Performance, Vocal or Instrumental",Soul Man
