id,Justice number,Image,Justice,Year of birth,State,Position,Succeeded,Date confirmed,Tenure length,Nominated by
37,37.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/DDavis.jpg/543px-DDavis.jpg,David Davis,1815.0,IL,AssociateJustice,Campbell,"December 8, 1862","14 years, 84 days",Abraham Lincoln
38,38.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Stephen_Johnson_Field%2C_photo_half_length_seated%2C_1875.jpg/530px-Stephen_Johnson_Field%2C_photo_half_length_seated%2C_1875.jpg,Stephen Johnson Field,1816.0,CA,AssociateJustice,new seat,"March 10, 1863","34 years, 205 days",Abraham Lincoln
39,39.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Mathew_Brady%2C_Portrait_of_Secretary_of_the_Treasury_Salmon_P._Chase%2C_officer_of_the_United_States_government_%281860%E2%80%931865%29.jpg/479px-Mathew_Brady%2C_Portrait_of_Secretary_of_the_Treasury_Salmon_P._Chase%2C_officer_of_the_United_States_government_%281860%E2%80%931865%29.jpg,Salmon P. Chase,1808.0,OH,ChiefJustice,Taney,"December 6, 1864","8 years, 143 days",Abraham Lincoln
40,40.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/William_Strong_judge_-_Brady-Handy.jpg/517px-William_Strong_judge_-_Brady-Handy.jpg,William Strong,1808.0,PA,AssociateJustice,Grier,"February 18, 1870","10 years, 275 days",Ulysses S. Grant
41,41.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Joseph_Philo_Bradley_-_Brady-Handy.jpg/457px-Joseph_Philo_Bradley_-_Brady-Handy.jpg,Joseph P. Bradley,1813.0,NJ,AssociateJustice,new seat,"March 21, 1870","21 years, 305 days",Ulysses S. Grant
42,42.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Ward_Hunt_-_Brady-Handy.jpg/428px-Ward_Hunt_-_Brady-Handy.jpg,Ward Hunt,1810.0,NY,AssociateJustice,Nelson,"December 11, 1872","9 years, 18 days",Ulysses S. Grant
43,43.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Chief_Justice_Morrison_Waite.jpg/495px-Chief_Justice_Morrison_Waite.jpg,Morrison Waite,1816.0,OH,ChiefJustice,S. P. Chase,"January 21, 1874","14 years, 19 days",Ulysses S. Grant
44,44.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/JudgeJMHarlan.jpg/536px-JudgeJMHarlan.jpg,John Marshall Harlan,1833.0,KY,AssociateJustice,Davis,"November 29, 1877","33 years, 308 days",Rutherford B. Hayes
45,45.0,https://upload.wikimedia.org/wikipedia/commons/8/87/William_Burnham_Woods.jpg,William Burnham Woods,1824.0,GA,AssociateJustice,Strong,"December 21, 1880","6 years, 129 days",Rutherford B. Hayes
46,46.0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Thomas_Stanley_Matthews_-_Brady-Handy.jpg/474px-Thomas_Stanley_Matthews_-_Brady-Handy.jpg,Stanley Matthews,1824.0,OH,AssociateJustice,Swayne,"May 12, 1881","7 years, 309 days",James A. Garfield
47,47.0,https://upload.wikimedia.org/wikipedia/commons/d/d3/Horacegrayphoto.jpg,Horace Gray,1828.0,MA,AssociateJustice,Clifford,"December 20, 1881","20 years, 249 days",Chester A. Arthur
48,48.0,https://upload.wikimedia.org/wikipedia/commons/9/9a/Samuel_Blatchford.jpg,Samuel Blatchford,1820.0,NY,AssociateJustice,Hunt,"March 22, 1882","11 years, 95 days",Chester A. Arthur
49,49.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Lucius_Quintus_Cincinnatus_Lamar_II_-_Brady-Handy.jpg/486px-Lucius_Quintus_Cincinnatus_Lamar_II_-_Brady-Handy.jpg,Lucius Quintus Cincinnatus Lamar II,1825.0,MS,AssociateJustice,Woods,"January 16, 1888","5 years, 5 days",Grover Cleveland
50,50.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Melville_Weston_Fuller_Chief_Justice_1908.jpg/381px-Melville_Weston_Fuller_Chief_Justice_1908.jpg,Melville Fuller,1833.0,IL,ChiefJustice,Waite,"July 20, 1888","21 years, 269 days",Grover Cleveland
51,51.0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/DavidBrewer.jpg/443px-DavidBrewer.jpg,David Josiah Brewer,1837.0,KS,AssociateJustice,Matthews,"December 18, 1889","20 years, 81 days",Benjamin Harrison
52,52.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Portrait_of_Henry_Billings_Brown.jpg/400px-Portrait_of_Henry_Billings_Brown.jpg,Henry Billings Brown,1836.0,MI,AssociateJustice,Miller,"December 29, 1890","16 years, 143 days",Benjamin Harrison
53,53.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/George_Shiras_Jr.jpg/472px-George_Shiras_Jr.jpg,George Shiras Jr.,1832.0,PA,AssociateJustice,Bradley,"July 26, 1892","10 years, 136 days",Benjamin Harrison
54,54.0,https://upload.wikimedia.org/wikipedia/commons/4/49/Justice_Howell_Jackson2.jpg,Howell Edmunds Jackson,1832.0,TN,AssociateJustice,L. Lamar,"February 18, 1893","2 years, 157 days",Benjamin Harrison
55,55.0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Edward_White%2C_head-and-shoulders_portrait%2C_facing_slightly_left%2C_1905.jpg/471px-Edward_White%2C_head-and-shoulders_portrait%2C_facing_slightly_left%2C_1905.jpg,Edward Douglass White,1845.0,LA,AssociateJustice,Blatchford,"February 19, 1894","16 years, 281 days",Grover Cleveland
56,56.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Rufus_W._Peckham_cph.3b30513.jpg/419px-Rufus_W._Peckham_cph.3b30513.jpg,Rufus W. Peckham,1838.0,NY,AssociateJustice,H. Jackson,"December 9, 1895","13 years, 291 days",Grover Cleveland
57,57.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Justice_McKenna.jpg/428px-Justice_McKenna.jpg,Joseph McKenna,1843.0,CA,AssociateJustice,Field,"January 21, 1898","26 years, 345 days",William McKinley
58,58.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Oliver_Wendell_Holmes_Jr_circa_1930-edit.jpg/410px-Oliver_Wendell_Holmes_Jr_circa_1930-edit.jpg,Oliver Wendell Holmes Jr.,1841.0,MA,AssociateJustice,Gray,"December 4, 1902","29 years, 35 days",Theodore Roosevelt
59,59.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Justice_William_R._Day.jpg/425px-Justice_William_R._Day.jpg,William R. Day,1849.0,OH,AssociateJustice,Shiras,"February 23, 1903","19 years, 256 days",Theodore Roosevelt
