id,State,Office,Candidate name and party,General seat,Primary date
312,MO,Governor,Nicole Galloway (D),Challenger,8/4/2020
313,MO,Governor,Saundra McDowell (R),Challenger in Primary,8/4/2020
314,MO,Lieutenant Governor,Alissia Canady (D),Challenger,8/4/2020
315,MO,Treasurer,Vicki Englund (D),Challenger,8/4/2020
316,MO,Representative,Cori Bush (D),Challenger in Primary,8/4/2020
317,MO,Representative,Winnie Heartstrong (R),Challenger,8/4/2020
318,MO,Representative,Katherine Bruckner (D),Challenger in Primary,8/4/2020
319,MO,Representative,Ann L. Wagner (R),Incumbent,8/4/2020
320,MO,Representative,Jill Schupp (D),Challenger,8/4/2020
321,MO,Representative,Adela Wisdom (R),Challenger in Primary,8/4/2020
322,MO,Representative,Lynette Trares (R),Challenger in Primary,8/4/2020
323,MO,Representative,Megan Rezabek (D),Challenger,8/4/2020
324,MO,Representative,Vicky Jo Hartzler (R),Incumbent,8/4/2020
325,MO,Representative,Lindsey Simmons (D),Challenger,8/4/2020
326,MO,Representative,Maite Salazar (D),Challenger in Primary,8/4/2020
327,MO,Representative,Richonda Oaks (R),Challenger,8/4/2020
328,MO,Representative,Gena Ross (D),Challenger,8/4/2020
329,MO,Representative,Ramona Farris (D),Challenger,8/4/2020
330,MO,Representative,Teresa Montseny (D),Challenger,8/4/2020
331,MO,Representative,Camille Lombardi-Olive (R),Challenger in Primary,8/4/2020
332,MO,Representative,Kathy Ellis (D),Challenger,8/4/2020
333,MS,Senate,Cindy Hyde-Smith (R),Incumbent,WON
334,MS,Representative,Antonia Eliason (D),Challenger,WON
335,MS,Representative,Sonia Rathburn (D),Challenger in Primary,Lost
336,MS,Representative,Dorothy Benford (D),Challenger,WON
337,MS,Representative,Katelyn Lee (D),Challenger,Lost
338,MT,Governor,Whitney Williams (D),Open Seat,Lost
339,MT,Lieutenant Governor,Kristen Juras (R),Open Seat,WON
340,MT,Secretary of State,Christi Jacobsen (R),Open Seat,WON
341,MT,Attorney General,Kimberly Dudik (D),Open Seat,Lost
342,MT,Auditor,Nelly Nicol (R),Open Seat,Lost
343,MT,Superintendent of Public Instruction,Elsie Arntzen (R),Incumbent,WON
344,MT,Superintendent of Public Instruction,Melissa Romano (D),Challenger,WON
345,MT,Representative,Kathleen Williams (D),Open Seat,WON
346,MT,Representative,Debra Lamm (R),Open Seat,Lost
347,NC,Governor,Holly Grange (R),Challenger,Lost
348,NC,Lieutenant Governor,Renne Ellmers (R),Open Seat,Lost
349,NC,Lieutenant Governor,Terry Van Duyn (D),Open Seat,Lost
350,NC,Lieutenant Governor,Yvonne Lewis Holley (D),Open Seat,WON
351,NC,Lieutenant Governor,Deborah Cochran (R),Open Seat,Lost
352,NC,Attorney General,Christine Mumma (R),Challenger,Lost
353,NC,Secretary of State,Elaine Marshall (D),Incumbent,WON
354,NC,Treasurer,Dimple Ajmera (D),Challenger,Lost
355,NC,Auditor,Beth Wood (D),Incumbent,WON
356,NC,Superintendent of Public Instruction,Jen Mangrum (D),Open Seat,WON
357,NC,Superintendent of Public Instruction,Constance Johnson (D),Open Seat,Lost
358,NC,Superintendent of Public Instruction,Catherine Truitt (R),Open Seat,WON
359,NC,Agriculture,Jenna Wadsworth (D),Challenger,WON
360,NC,Commissioner of Labor,Jessica Holmes (D),Open Seat,WON
361,NC,Commissioner of Labor,Pearl Burris-Floyd (R),Open Seat,Lost
362,NC,Senate,Erica Smith (D),Challenger,Lost
363,NC,Senate,Sharon Y. Hudson (R),Challenger in Primary,Lost
364,NC,Representative,Sandy Smith (R),Challenger,WON
365,NC,Representative,Michele Nix (R),Challenger,Lost
366,NC,Representative,Monika Johnson-Hostler (D),Open Seat,Lost
367,NC,Representative,Deborah Ross (D),Open Seat,WON
368,NC,Representative,Virginia Foxx (R),Incumbent,WON
369,NC,Representative,Kathy Manning (D),Open Seat,WON
370,NC,Representative,Rhonda Foxx (D),Open Seat,Lost
371,NC,Representative,Laura Pichardo (R),Open Seat,Lost
372,NC,Representative,Patricia Timmons-Goodson (D),Challenger,WON
373,NC,Representative,Cynthia L. Wallace (D),Challenger,WON
374,NC,Representative,Gina Collias (D),Open Seat,Lost
375,NC,Representative,Lynda Bennett (R),Open Seat,Lost
376,NC,Representative,Alma Adams (D),Incumbent,WON
377,ND,Governor,Shelley Lenz (D),Challenger,WON
378,ND,Insurance,Travisia Martin (D),Challenger,WON
379,ND,Superintendent of Public Instruction,Kirsten Baesler (NP),Incumbent,WON
380,NE,Senate,Angie Phillips (D),Challenger,Lost
381,NE,Senate,Alisha Shelton (D),Challenger,Lost
382,NE,Representative,Babs Ramsey (D),Challenger,Lost
383,NE,Representative,Kate Bolz (D),Challenger,WON
384,NE,Representative,Kara Eastman (D),Challenger,WON
385,NE,Representative,Ann Ashford (D),Challenger,Lost
386,NE,Representative,Gladys Harrison (D),Challenger,Lost
387,NH,Governor,Karen Testerman (R),Challenger in Primary,9/8/2020
388,NH,Senate,Jeanne Shaheen (D),Incumbent,9/8/2020
389,NH,Representative,Ann McLane Kuster (D),Incumbent,9/8/2020
390,NH,Representative,Lynne Blankenbeker (R),Challenger,9/8/2020
391,NJ,Senate,Tricia Flanagan (R),Challenger,7/7/2020
392,NJ,Representative,Claire Gustafson (R),Challenger,7/7/2020
393,NJ,Representative,Brigid Callahan Harrison (D),Challenger,7/7/2020
394,NJ,Representative,Amy Kennedy (D),Challenger,7/7/2020
395,NJ,Representative,Kate Gibbs (R),Challenger,7/7/2020
396,NJ,Representative,Christine Conforti (D),Challenger,7/7/2020
397,NJ,Representative,Stephanie Schmid (D),Challenger,7/7/2020
398,NJ,Representative,Arati Kreibich (D),Challenger in Primary,7/7/2020
399,NJ,Representative,Amani Al-Khatahtbeh (D),Challenger in Primary,7/7/2020
400,NJ,Representative,Zina Spezakis (D),Challenger in Primary,7/7/2020
401,NJ,Representative,Jen Zinone (R),Challenger,7/7/2020
402,NJ,Representative,Mikie Sherrill (D),Incumbent,7/7/2020
403,NJ,Representative,Rosemary Becchi (R),Challenger,7/7/2020
404,NJ,Representative,Bonnie Watson Coleman (D),Incumbent,7/7/2020
405,NJ,Representative,Lisa McCormick (D),Challenger in Primary,7/7/2020
406,NM,Senate,Elisa Martinez (R),Open Seat,Lost
407,NM,Representative,Debra A. Haaland (D),Incumbent,WON
408,NM,Representative,Michelle Garcia Holmes (R),Challenger,WON
409,NM,Representative,Xochitl Torres Small (D),Incumbent,WON
410,NM,Representative,Yvette Herrell (R),Challenger,WON
411,NM,Representative,Claire Chase (R),Challenger,Lost
412,NM,Representative,Teresa Leger (D),Open Seat,WON
413,NM,Representative,Valerie Plame (D),Open Seat,Lost
414,NM,Representative,Laura Montoya (D),Open Seat,Lost
415,NM,Representative,Alexis Johnson (R),Open Seat,WON
416,NM,Representative,Karen Bedonie (R),Open Seat,Lost
417,NV,Representative,Dina C. Titus (D),Incumbent,WON
418,NV,Representative,Citlaly Larois-Elias (R),Challenger,Lost
419,NV,Representative,Joyce Bentley (R),Challenger,WON
420,NV,Representative,Patricia Ackerman (D),Challenger,WON
421,NV,Representative,Susie Lee (D),Incumbent,WON
422,NV,Representative,Tiffany Ann Watson (D),Challenger in Primary,Lost
423,NV,Representative,Mindy Robinson (R),Challenger,Lost
424,NV,Representative,Rebecca Wood (R),Challenger,Lost
425,NV,Representative,Randi Reed (R),Challenger,Lost
426,NV,Representative,Lisa Song Sutton (R),Challenger,Lost
427,NV,Representative,Jennifer Eason (D),Challenger in Primary,Lost
428,NV,Representative,Steffanie Gabrielle D'Ayr,Challenger in Primary,Lost
429,NV,Representative,Rosalie Bingham (R),Challenger,Lost
430,NY,Representative,Nancy Goroff (D),Challenger,TCTC
431,NY,Representative,Bridget Fleming (D),Challenger,TCTC
432,NY,Representative,Jackie Gordon (D),Open Seat,TCTC
433,NY,Representative,Pat Maher (D),Open Seat,TCTC
434,NY,Representative,Melanie D'Arrigo (D),Challenger in Primary,TCTC
435,NY,Representative,Kathleen M. Rice (D),Incumbent,WON
436,NY,Representative,Cindy Grosz (R),Challenger,TCTC
