id,State,Year,NationalRank,FemaleSenateDemocrats,FemaleSenateRepublicans,FemaleSenateIndependents,FemaleSenateOther,FemaleSenateTotal,TotalSenateMembers,FemaleHouseDemocrats,FemaleHouseRepublicans,FemaleHouseIndependents,FemaleHouseOther,FemaleHouseTotal,TotalHouseMembers,TotalFemalesinLegislature,TotalLegislatureMembers,PercentageOfFemalesInLegislature
1372,Michigan,1992,30,2,1,0,0,3,38,10,9,0,0,19,110,22,148,14.9
1373,Minnesota,1992,17,9,5,0,0,14,67,17,11,0,0,28,134,42,201,20.9
1374,Mississippi,1992,48,2,1,0,0,3,52,8,1,0,0,9,122,12,174,6.9
1375,Missouri,1992,28,1,1,0,0,2,34,21,8,0,0,29,163,31,197,15.7
1376,Montana,1992,19,7,1,0,0,8,50,18,5,0,0,23,100,31,150,20.7
1377,Nebraska*,1992,24,0,0,0,0,9,49,0,0,0,0,0,0,9,49,18.4
1378,Nevada,1992,20,2,2,0,0,4,21,6,2,0,0,8,42,12,63,19
1379,New Hampshire,1992,6,4,3,0,0,7,24,45,79,0,0,124,400,131,424,33.3
1380,New Jersey,1992,40,1,1,0,0,2,40,2,11,0,0,13,80,15,120,12.5
1381,New Mexico,1992,35,3,1,0,0,4,42,7,5,0,0,12,70,16,112,14.3
1382,New York,1992,38,5,1,0,0,6,61,17,4,0,0,21,150,27,211,12.8
1383,North Carolina,1992,31,4,1,0,0,5,50,13,7,0,0,20,120,25,170,14.7
1384,North Dakota,1992,33,3,3,0,0,6,53,8,9,0,0,17,106,23,159,14.5
1385,Ohio,1992,29,1,3,0,0,4,33,12,4,0,0,16,99,20,132,15.2
1386,Oklahoma,1992,45,5,0,0,0,5,48,5,3,0,0,8,101,13,149,8.7
1387,Oregon,1992,12,6,1,0,0,7,30,9,6,0,0,15,60,22,90,24.4
1388,Pennsylvania,1992,44,3,1,0,0,4,50,9,11,0,0,20,203,24,253,9.5
1389,Rhode Island,1992,27,7,2,0,0,9,50,11,5,0,0,16,100,25,150,16.7
1390,South Carolina,1992,36,1,1,0,0,2,46,13,7,0,0,20,124,22,170,12.9
1391,South Dakota,1992,10,9,2,0,0,11,35,5,10,0,0,15,70,26,105,24.8
1392,Tennessee,1992,43,2,1,0,0,3,33,5,7,0,0,12,99,15,132,11.4
1393,Texas,1992,39,3,1,0,0,4,31,13,6,0,0,19,150,23,181,12.7
1394,Utah,1992,42,2,1,0,0,3,29,4,5,0,0,9,75,12,104,11.5
1395,Vermont,1992,4,7,0,0,0,7,30,27,22,0,0,49,150,56,180,31.1
1396,Virginia,1992,41,3,1,0,0,4,40,10,3,0,0,13,100,17,140,12.1
1397,Washington,1992,2,7,5,0,0,12,49,23,13,0,0,36,98,48,147,32.7
1398,West Virginia,1992,17,5,1,0,0,6,34,16,6,0,0,22,100,28,134,20.9
1399,Wisconsin,1992,13,1,4,0,0,5,33,19,8,0,0,27,99,32,132,24.2
1400,Wyoming,1992,11,3,0,0,0,3,30,7,13,0,0,20,64,23,94,24.5
1401,Alabama,1991,48,0,1,0,0,1,35,7,0,0,0,7,105,8,140,5.7
1402,Alaska,1991,14,1,0,3,0,4,20,5,5,0,0,10,40,14,60,23.3
1403,Arizona,1991,1,4,4,0,0,8,30,10,13,0,0,23,60,31,90,34.4
1404,Arkansas,1991,46,1,0,0,0,1,35,7,2,0,0,9,100,10,135,7.4
1405,California,1991,25,3,2,0,0,5,40,9,7,0,0,16,80,21,120,17.5
1406,Colorado,1991,6,3,5,0,0,8,35,11,12,0,0,23,65,31,100,31
1407,Connecticut,1991,16,4,3,0,0,7,36,21,15,0,0,36,151,43,187,23
1408,Deleware,1991,37,3,1,0,0,4,21,1,3,0,0,4,41,8,62,12.9
1409,Florida,1991,22,8,2,0,0,10,40,11,9,0,0,20,120,30,160,18.8
1410,Georgia,1991,34,2,1,0,0,3,56,24,6,0,0,30,180,33,236,14
1411,Hawaii,1991,8,6,1,0,0,7,25,11,3,0,0,14,51,21,76,27.6
1412,Idaho,1991,7,10,2,0,0,12,42,10,14,0,0,24,84,36,126,28.6
1413,Illinois,1991,23,6,6,0,0,12,59,11,10,0,0,21,118,33,177,18.6
1414,Indiana,1991,26,7,5,0,0,12,50,7,7,0,0,14,100,26,150,17.3
1415,Iowa,1991,31,4,2,0,0,6,50,11,5,0,0,16,100,22,150,14.7
1416,Kansas,1991,9,5,4,0,0,9,40,17,18,0,0,35,125,44,165,26.7
1417,Kentucky,1991,49,1,0,0,0,1,38,2,4,0,0,6,100,7,138,5.1
1418,Louisiana,1991,50,1,0,0,0,1,39,3,0,0,0,3,105,4,144,2.8
1419,Maine,1991,2,6,6,0,0,12,35,34,15,0,0,49,151,61,186,32.8
1420,Maryland,1991,12,9,0,0,0,9,47,31,5,0,0,36,141,45,188,23.9
1421,Massachusetts,1991,21,3,4,0,0,7,40,23,8,0,0,31,160,38,200,19
1422,Michigan,1991,30,2,1,0,0,3,38,11,8,0,0,19,110,22,148,14.9
1423,Minnesota,1991,17,9,5,0,0,14,67,18,11,0,0,29,134,43,201,21.4
1424,Mississippi,1991,47,3,1,0,0,4,52,8,0,0,0,8,122,12,174,6.9
1425,Missouri,1991,27,1,1,0,0,2,34,22,8,0,0,30,163,32,197,16.2
1426,Montana,1991,19,7,1,0,0,8,50,18,5,0,0,23,100,31,150,20.7
1427,Nebraska*,1991,24,0,0,0,0,9,49,0,0,0,0,0,0,9,49,18.4
1428,Nevada,1991,20,2,2,0,0,4,21,6,2,0,0,8,42,12,63,19
1429,New Hampshire,1991,3,4,3,0,0,7,24,49,79,0,0,128,400,135,424,31.8
1430,New Jersey,1991,43,1,1,0,0,2,40,4,7,0,0,11,80,13,120,10.8
1431,New Mexico,1991,35,3,1,0,0,4,42,6,5,0,0,11,70,15,112,13.4
1432,New York,1991,36,5,1,0,0,6,61,18,4,0,0,22,150,28,211,13.3
1433,North Carolina,1991,32,4,1,0,0,5,50,13,7,0,0,20,120,25,170,14.7
1434,North Dakota,1991,33,3,3,0,0,6,53,8,9,0,0,17,106,23,159,14.5
1435,Ohio,1991,29,1,3,0,0,4,33,12,4,0,0,16,99,20,132,15.2
1436,Oklahoma,1991,45,5,0,0,0,5,48,5,3,0,0,8,101,13,149,8.7
1437,Oregon,1991,14,6,1,0,0,7,30,8,6,0,0,14,60,21,90,23.3
1438,Pennsylvania,1991,44,3,1,0,0,4,50,9,11,0,0,20,203,24,253,9.5
1439,Rhode Island,1991,28,6,2,0,0,8,50,11,5,0,0,16,100,24,150,16
1440,South Carolina,1991,42,1,1,0,0,2,46,12,5,0,0,17,124,19,170,11.2
1441,South Dakota,1991,10,9,2,0,0,11,35,5,10,0,0,15,70,26,105,24.8
1442,Tennessee,1991,41,2,1,0,0,3,33,5,7,0,0,12,99,15,132,11.4
1443,Texas,1991,38,3,1,0,0,4,31,13,6,0,0,19,150,23,181,12.7
1444,Utah,1991,40,2,1,0,0,3,29,4,5,0,0,9,75,12,104,11.5
1445,Vermont,1991,4,7,0,0,0,7,30,27,23,0,0,50,150,57,180,31.7
1446,Virginia,1991,39,2,1,0,0,3,40,9,5,0,0,14,100,17,140,12.1
1447,Washington,1991,5,6,5,0,0,11,49,22,13,0,0,35,98,46,147,31.3
1448,West Virginia,1991,18,5,1,0,0,6,34,16,6,0,0,22,100,28,134,20.9
1449,Wisconsin,1991,13,1,4,0,0,5,33,19,7,0,0,26,99,31,132,23.5
1450,Wyoming,1991,11,3,0,0,0,3,30,7,13,0,0,20,64,23,94,24.5
1451,Alabama,1990,49,0,1,0,0,1,35,7,0,0,0,7,105,8,140,5.7
1452,Alaska,1990,16,1,0,3,0,4,20,4,4,0,0,8,40,12,60,20
1453,Arizona,1990,4,2,3,0,0,5,30,9,13,0,0,22,60,27,90,30
1454,Arkansas,1990,45,2,0,0,0,2,35,7,1,0,0,8,100,10,135,7.4
1455,California,1990,27,3,2,0,0,5,40,7,7,0,0,14,80,19,120,15.8
1456,Colorado,1990,6,2,5,0,0,7,35,9,13,0,0,22,65,29,100,29
1457,Connecticut,1990,14,4,3,0,0,7,36,19,15,0,0,34,151,41,187,21.9
1458,Deleware,1990,26,2,2,0,0,4,21,2,4,0,0,6,41,10,62,16.1
1459,Florida,1990,25,7,3,0,0,10,40,8,8,0,0,16,120,26,160,16.3
1460,Georgia,1990,41,1,1,0,0,2,56,18,4,0,0,22,180,24,236,10.2
