id,State,Year,NationalRank,FemaleSenateDemocrats,FemaleSenateRepublicans,FemaleSenateIndependents,FemaleSenateOther,FemaleSenateTotal,TotalSenateMembers,FemaleHouseDemocrats,FemaleHouseRepublicans,FemaleHouseIndependents,FemaleHouseOther,FemaleHouseTotal,TotalHouseMembers,TotalFemalesinLegislature,TotalLegislatureMembers,PercentageOfFemalesInLegislature
1,Alabama,2019,45,4,0,0,0,4,35,11,8,0,0,19,105,23,140,16.4
2,Alaska,2019,7,1,0,5,0,6,20,6,11,0,0,17,40,23,60,38.3
3,Arizona,2019,6,7,6,0,0,13,30,14,8,0,0,22,60,35,90,38.9
4,Arkansas,2019,36,3,4,0,0,7,35,9,17,0,0,26,100,33,135,24.4
5,California,2019,18,11,3,0,0,14,40,21,3,0,0,24,80,38,120,31.7
6,Colorado,2019,2,12,1,0,0,13,35,26,7,0,0,33,65,46,100,46
7,Connecticut,2019,17,8,1,0,0,9,36,29,22,0,0,51,151,60,187,32.1
8,Deleware,2019,37,4,1,0,0,5,21,9,1,0,0,10,41,15,62,24.2
9,Florida,2019,24,6,6,0,0,12,40,23,13,0,0,36,120,48,160,30
10,Georgia,2019,23,13,2,0,0,15,56,42,15,0,0,57,180,72,236,30.5
11,Hawaii,2019,20,7,0,0,0,7,25,14,3,0,0,17,51,24,76,31.6
12,Idaho,2019,16,4,5,0,0,9,35,8,17,0,0,25,70,34,105,32.4
13,Illinois,2019,11,17,2,0,0,19,59,37,8,0,0,45,118,64,177,36.2
14,Indiana,2019,33,2,8,0,0,10,50,17,11,0,0,28,100,38,150,25.3
15,Iowa,2019,25,6,5,0,0,11,50,23,10,0,0,33,100,44,150,29.3
16,Kansas,2019,28,6,8,0,0,14,40,17,15,0,0,32,125,46,165,27.9
17,Kentucky,2019,39,2,2,0,0,4,38,18,10,0,0,28,100,33,138,23.2
18,Louisiana,2019,47,3,2,0,0,5,39,8,9,0,0,17,105,22,144,15.3
19,Maine,2019,9,8,4,0,0,12,35,47,11,0,0,58,151,70,186,37.6
20,Maryland,2019,7,12,2,0,0,14,47,51,7,0,0,58,141,72,188,38.3
21,Massachusetts,2019,27,11,0,0,0,11,40,38,7,1,0,46,160,57,200,28.5
22,Michigan,2019,12,8,3,0,0,11,38,25,17,0,0,42,110,53,148,35.8
23,Minnesota,2019,21,10,6,0,0,16,67,34,13,0,0,47,134,63,201,31.3
24,Mississippi,2019,49,4,5,0,0,9,52,8,7,0,0,15,122,24,174,13.8
25,Missouri,2019,38,6,3,0,0,9,34,18,20,0,0,38,163,47,197,23.9
26,Montana,2019,22,11,2,0,0,13,50,22,11,0,0,33,100,46,150,30.7
27,Nebraska*,2019,26,0,0,0,0,14,49,0,0,0,0,0,0,14,49,28.6
28,Nevada,2019,1,9,1,0,0,10,21,18,5,0,0,23,42,33,63,52.4
29,New Hampshire,2019,14,7,3,0,0,10,24,109,25,0,0,134,400,144,424,34
30,New Jersey,2019,18,9,1,0,0,10,40,21,7,0,0,28,80,38,120,31.7
31,New Mexico,2019,13,7,2,0,0,9,42,24,7,0,0,31,70,40,112,35.7
32,New York,2019,15,14,5,0,0,19,63,46,4,0,0,50,150,69,213,32.4
33,North Carolina,2019,33,6,4,0,0,10,50,23,10,0,0,33,120,43,170,25.3
34,North Dakota,2019,42,4,7,0,0,11,47,8,12,0,0,20,94,31,141,22
35,Ohio,2019,29,4,4,0,0,8,33,19,9,0,0,28,99,36,132,27.3
36,Oklahoma,2019,43,5,4,0,0,9,48,11,12,0,0,23,101,32,149,21.5
37,Oregon,2019,3,7,2,0,0,9,30,22,7,0,0,29,60,38,90,42.2
38,Pennsylvania,2019,32,7,6,0,0,13,50,30,23,0,0,53,203,66,253,26.1
39,Rhode Island,2019,10,14,2,0,0,16,38,25,1,0,0,26,75,42,113,37.2
40,South Carolina,2019,44,2,2,0,0,4,46,12,12,0,0,24,124,28,170,16.5
41,South Dakota,2019,41,2,3,0,0,5,35,4,15,0,0,19,70,24,105,22.9
42,Tennessee,2019,48,4,4,0,0,8,33,4,8,0,0,12,99,20,132,15.2
43,Texas,2019,39,3,6,0,0,9,31,27,6,0,0,33,150,42,181,23.2
44,Utah,2019,35,4,2,0,0,6,29,12,8,0,0,20,75,26,104,25
45,Vermont,2019,5,10,0,0,0,10,30,41,14,3,1,62,150,72,180,40
46,Virginia,2019,31,7,3,0,0,10,40,22,5,0,0,27,100,37,140,26.4
47,Washington,2019,4,12,7,0,0,19,49,30,10,0,0,40,98,59,147,40.1
48,West Virginia,2019,50,0,3,0,0,3,34,8,7,0,0,15,100,18,134,13.4
49,Wisconsin,2019,29,6,2,0,0,8,33,18,10,0,0,28,99,36,132,27.3
50,Wyoming,2019,46,1,5,0,0,6,30,4,4,0,0,8,60,14,90,15.6
51,Alabama,2018,45,3,0,1,0,4,35,12,5,0,0,17,105,21,140,15
52,Alaska,2018,12,1,0,5,0,6,20,4,9,0,0,13,40,19,60,31.7
53,Arizona,2018,1,6,8,0,0,14,30,13,9,0,0,22,60,36,90,40
54,Arkansas,2018,40,3,5,0,0,8,35,3,15,0,0,18,100,26,135,19.3
55,California,2018,25,7,4,0,0,11,40,17,3,0,0,20,80,31,120,25.8
56,Colorado,2018,4,8,2,1,0,11,35,18,9,0,0,27,65,38,100,38
57,Connecticut,2018,21,7,2,0,0,9,36,21,21,0,0,42,151,51,187,27.3
58,Deleware,2018,34,3,1,0,0,4,21,7,2,0,0,9,41,13,62,21
59,Florida,2018,26,6,7,0,0,13,40,14,14,0,0,28,120,41,160,25.6
60,Georgia,2018,23,11,2,0,0,13,56,32,18,0,0,50,180,63,236,26.7
61,Hawaii,2018,16,7,0,0,0,7,25,12,3,0,0,15,51,22,76,28.9
62,Idaho,2018,14,4,5,0,0,9,35,7,16,0,0,23,70,32,105,30.5
63,Illinois,2018,6,13,2,0,0,15,59,34,13,0,0,47,118,62,177,35
64,Indiana,2018,36,2,6,0,0,8,50,11,11,0,0,22,100,30,150,20
65,Iowa,2018,31,5,2,0,0,7,50,19,9,0,0,28,100,35,150,22.3
66,Kansas,2018,18,4,11,0,0,15,40,15,17,0,0,32,125,47,165,28.5
67,Kentucky,2018,42,2,2,0,0,4,38,10,9,0,0,19,100,23,138,16.7
68,Louisiana,2018,48,3,2,0,0,5,39,7,9,0,0,16,105,21,144,14.6
69,Maine,2018,7,6,4,0,0,10,35,35,17,1,0,53,151,63,186,33.9
70,Maryland,2018,8,10,3,0,0,13,47,39,11,0,0,50,141,63,188,33.5
71,Massachusetts,2018,29,10,0,0,0,10,40,30,8,1,0,39,160,49,200,24.5
72,Michigan,2018,27,1,3,0,0,4,38,17,16,0,0,33,110,37,148,25
73,Minnesota,2018,11,10,6,0,0,16,67,28,20,0,0,48,134,64,201,31.8
74,Mississippi,2018,46,4,5,0,0,9,52,10,7,0,0,17,122,26,174,14.9
75,Missouri,2018,32,6,2,0,0,8,34,16,21,0,0,37,163,45,197,22.8
76,Montana,2018,20,11,2,0,0,13,50,21,8,0,0,29,100,42,150,28
77,Nebraska*,2018,24,0,0,0,0,13,49,0,0,0,0,0,0,13,49,26.5
78,Nevada,2018,3,5,1,0,1,7,21,13,4,0,0,17,42,24,63,38.1
79,New Hampshire,2018,17,4,3,0,0,7,24,77,38,0,0,115,400,122,424,28.8
80,New Jersey,2018,13,8,2,0,0,10,40,21,6,0,0,27,80,37,120,30.8
81,New Mexico,2018,15,5,2,0,0,7,42,17,10,0,0,27,70,34,112,30.4
82,New York,2018,19,8,7,0,0,15,63,42,3,0,0,45,150,60,213,28.2
83,North Carolina,2018,28,5,8,0,0,13,50,17,12,0,0,29,120,42,170,24.7
84,North Dakota,2018,41,3,6,0,0,9,47,7,10,0,0,17,94,26,141,18.4
85,Ohio,2018,33,3,3,0,0,6,33,13,10,0,0,23,99,29,132,22
86,Oklahoma,2018,48,3,3,0,0,6,48,5,8,0,0,12,101,19,149,12.8
87,Oregon,2018,9,6,2,0,0,8,30,19,3,0,0,22,60,30,90,33.3
88,Pennsylvania,2018,39,3,4,0,0,7,50,21,21,0,0,42,203,49,253,19.4
89,Rhode Island,2018,10,12,1,0,0,13,38,21,2,0,0,23,75,36,113,31.9
90,South Carolina,2018,43,2,2,0,0,4,46,12,11,0,0,23,124,27,170,15.9
91,South Dakota,2018,34,0,5,0,0,5,35,3,14,0,0,17,70,22,105,21
92,Tennessee,2018,43,2,3,0,0,5,33,7,9,0,0,16,99,21,132,15.9
93,Texas,2018,36,2,6,0,0,8,31,21,8,0,0,29,150,37,181,20.4
94,Utah,2018,37,3,2,0,0,5,29,9,7,0,0,16,75,21,104,20.2
95,Vermont,2018,2,9,2,0,0,11,30,39,13,3,5,60,150,71,180,39.4
96,Virginia,2018,22,7,3,0,0,10,40,23,5,0,0,28,100,38,140,27.1
97,Washington,2018,5,10,9,0,0,19,49,25,11,0,0,36,98,55,147,37.4
98,West Virginia,2018,46,0,4,0,0,4,34,2,14,0,0,16,100,20,134,14.9
99,Wisconsin,2018,30,7,2,0,0,9,33,14,9,0,0,23,99,32,132,24.2
100,Wyoming,2018,50,1,2,0,0,3,30,3,4,0,0,7,60,10,90,11.1
101,Alabama,2017,45,3,0,1,0,4,35,12,5,0,0,17,105,21,140,15
102,Alaska,2017,15,1,0,5,0,6,20,3,9,0,0,12,40,18,60,30
103,Arizona,2017,1,6,8,0,0,14,30,13,9,0,0,22,60,36,90,40
104,Arkansas,2017,40,3,4,0,0,7,35,3,15,0,0,18,100,25,135,18.5
105,California,2017,30,6,3,0,0,9,40,15,3,0,0,18,80,27,120,22.5
106,Colorado,2017,4,9,2,0,0,11,35,18,8,0,0,26,65,37,100,37
107,Connecticut,2017,19,7,2,0,0,9,36,21,22,0,0,43,151,52,187,27.8
108,Deleware,2017,33,3,1,0,0,4,21,7,2,0,0,9,41,13,62,21
109,Florida,2017,26,5,8,0,0,13,40,14,13,0,0,27,120,40,160,25
110,Georgia,2017,22,11,2,0,0,13,56,32,19,0,0,51,180,64,236,27.1
111,Hawaii,2017,21,7,0,0,0,7,25,12,3,0,0,15,51,22,76,28.9
112,Idaho,2017,13,4,5,0,0,9,35,7,16,0,0,23,70,32,105,30.5
113,Illinois,2017,6,13,4,0,0,17,59,33,12,0,0,45,118,62,177,35
114,Indiana,2017,36,2,6,0,0,8,50,11,11,0,0,22,100,30,150,20
115,Iowa,2017,28,5,1,0,0,6,50,19,9,0,0,28,100,34,150,22.7
116,Kansas,2017,18,4,11,0,0,15,40,15,17,0,0,32,125,47,165,28.5
117,Kentucky,2017,42,2,2,0,0,4,38,9,10,0,0,19,100,23,138,16.7
118,Louisiana,2017,44,3,2,0,0,5,39,8,9,0,0,17,105,22,144,15.3
119,Maine,2017,7,6,4,0,0,10,35,35,17,1,0,53,151,63,186,33.9
120,Maryland,2017,10,9,2,0,0,11,47,38,11,0,0,49,141,60,188,31.9
121,Massachusetts,2017,24,12,0,0,0,12,40,30,8,1,0,39,160,51,200,25.5
122,Michigan,2017,26,1,3,0,0,4,38,17,16,0,0,33,110,37,148,25
123,Minnesota,2017,9,9,7,0,0,16,67,28,21,0,0,49,134,65,201,32.3
124,Mississippi,2017,46,4,5,0,0,9,52,10,7,0,0,17,122,26,174,14.9
125,Missouri,2017,31,5,2,0,0,7,34,17,20,0,0,37,163,44,197,22.3
126,Montana,2017,17,12,2,0,0,14,50,21,8,0,0,29,100,43,150,28.7
127,Nebraska*,2017,23,0,0,0,0,13,49,0,0,0,0,0,0,13,49,26.5
128,Nevada,2017,3,5,2,0,1,8,21,13,4,0,0,17,42,25,63,39.7
129,New Hampshire,2017,16,4,3,0,0,7,24,80,39,0,0,119,400,126,424,29.7
130,New Jersey,2017,12,8,4,0,0,12,40,18,7,0,0,25,80,37,120,30.8
131,New Mexico,2017,14,5,2,0,0,7,42,17,10,0,0,27,70,34,112,30.4
132,New York,2017,20,7,7,0,0,14,63,41,3,1,0,45,150,59,213,27.7
133,North Carolina,2017,25,6,7,0,0,13,50,17,13,0,0,30,120,43,170,25.3
134,North Dakota,2017,41,3,6,0,0,9,47,7,10,0,0,17,94,26,141,18.4
135,Ohio,2017,32,3,3,0,0,6,33,13,10,0,0,23,99,29,132,22
136,Oklahoma,2017,48,2,4,0,0,6,48,6,8,0,0,14,101,20,149,13.4
137,Oregon,2017,8,6,2,0,0,8,30,19,3,0,0,22,60,30,90,33.3
138,Pennsylvania,2017,39,3,4,0,0,7,50,19,21,0,0,40,203,47,253,18.6
139,Rhode Island,2017,11,11,1,0,0,12,38,21,2,0,0,23,75,35,113,31
140,South Carolina,2017,47,2,2,0,0,4,46,11,9,0,0,20,124,24,170,14.1
141,South Dakota,2017,36,0,5,0,0,5,35,3,13,0,0,16,70,21,105,20
142,Tennessee,2017,43,2,3,0,0,5,33,7,9,0,0,16,99,21,132,15.9
143,Texas,2017,34,2,6,0,0,8,31,21,8,0,0,29,150,37,181,20.4
144,Utah,2017,35,3,3,0,0,6,29,9,6,0,0,15,75,21,104,20.2
145,Vermont,2017,1,9,2,0,0,11,30,40,13,3,5,61,150,72,180,40
146,Virginia,2017,38,7,3,0,0,10,40,13,4,0,0,17,100,27,140,19.3
147,Washington,2017,4,10,9,0,0,19,49,25,11,0,0,36,98,55,147,37.4
148,West Virginia,2017,48,0,3,0,0,3,34,2,13,0,0,15,100,18,134,13.4
149,Wisconsin,2017,30,6,2,0,0,8,33,13,9,0,0,22,99,30,132,22.7
150,Wyoming,2017,50,1,2,0,0,3,30,3,4,0,0,7,60,10,90,11.1
151,Alabama,2016,46,3,0,1,0,4,35,11,5,0,0,16,105,20,140,14.3
152,Alaska,2016,11,1,0,4,0,5,20,3,10,0,0,13,40,18,60,30
153,Arizona,2016,3,6,7,0,0,13,30,11,8,0,0,19,60,32,90,35.6
154,Arkansas,2016,36,3,4,0,0,7,35,6,14,0,0,20,100,27,135,20
155,California,2016,22,8,3,0,0,11,40,11,8,0,0,19,80,30,120,25
156,Colorado,2016,1,8,4,0,0,12,35,20,10,0,0,30,65,42,100,42
157,Connecticut,2016,16,8,1,0,0,9,36,24,19,0,0,43,151,52,187,27.8
158,Deleware,2016,28,5,1,0,0,6,21,7,2,0,0,9,41,15,62,24.2
159,Florida,2016,22,6,6,0,0,12,40,13,15,0,0,28,120,40,160,25
160,Georgia,2016,27,8,2,0,0,10,56,29,19,0,0,48,180,58,236,24.6
161,Hawaii,2016,14,8,0,0,0,8,25,10,4,0,0,14,51,22,76,28.9
162,Idaho,2016,17,4,6,0,0,10,35,7,12,0,0,19,70,29,105,27.6
163,Illinois,2016,6,12,4,0,0,16,59,32,10,0,0,42,118,58,177,32.8
164,Indiana,2016,34,3,6,0,0,9,50,12,10,0,0,22,100,31,150,20.7
165,Iowa,2016,31,6,1,0,0,7,50,21,6,0,0,27,100,34,150,22.7
166,Kansas,2016,29,4,9,0,0,13,40,9,17,0,0,26,125,39,165,23.6
167,Kentucky,2016,42,2,2,0,0,4,38,10,8,0,0,18,100,22,138,15.9
168,Louisiana,2016,44,3,2,0,0,5,39,8,9,0,0,17,105,22,144,15.3
169,Maine,2016,13,6,3,0,0,9,35,30,16,0,0,46,151,55,186,29.6
170,Maryland,2016,7,10,2,0,0,12,47,37,11,0,0,48,141,60,188,31.9
171,Massachusetts,2016,22,12,0,0,0,12,40,29,9,0,0,38,160,50,200,25
172,Michigan,2016,35,1,3,0,0,4,38,16,10,0,0,26,110,30,148,20.3
173,Minnesota,2016,5,15,8,0,0,23,67,26,18,0,0,44,134,67,201,33.3
174,Mississippi,2016,50,4,5,0,0,9,52,9,5,0,0,14,122,23,174,13.2
175,Missouri,2016,26,5,1,0,0,6,34,19,24,0,0,43,163,49,197,24.9
176,Montana,2016,9,12,6,0,0,18,50,21,8,0,0,29,100,47,150,31.3
177,Nebraska*,2016,32,0,0,0,0,11,49,0,0,0,0,0,0,11,49,22.4
178,Nevada,2016,8,2,2,0,0,4,21,9,7,0,0,16,42,20,63,31.7
179,New Hampshire,2016,15,4,4,0,0,8,24,67,45,0,0,112,400,120,424,28.3
180,New Jersey,2016,11,8,3,0,0,11,40,18,7,0,0,25,80,36,120,30
181,New Mexico,2016,19,4,2,0,0,6,42,13,10,0,0,23,70,29,112,25.9
182,New York,2016,20,6,5,0,0,11,63,38,5,1,0,44,150,55,213,25.8
183,North Carolina,2016,30,7,6,0,0,13,50,14,12,0,0,26,120,39,170,22.9
184,North Dakota,2016,39,4,4,0,0,8,47,11,8,0,0,19,94,27,141,19.1
185,Ohio,2016,22,4,3,0,0,7,33,14,12,0,0,26,99,33,132,25
186,Oklahoma,2016,47,3,3,0,0,6,48,5,10,0,0,15,101,21,149,14.1
187,Oregon,2016,10,6,2,0,0,8,30,16,4,0,0,20,60,28,90,31.1
188,Pennsylvania,2016,40,4,5,0,0,9,50,15,23,0,0,38,203,47,253,18.6
189,Rhode Island,2016,18,9,1,0,0,10,38,18,3,0,0,21,75,31,113,27.4
190,South Carolina,2016,47,1,1,0,0,2,46,12,10,0,0,22,124,24,170,14.1
191,South Dakota,2016,33,1,6,0,0,7,35,4,11,0,0,15,70,22,105,21
192,Tennessee,2016,41,2,4,0,0,6,33,7,9,0,0,16,99,22,132,16.7
193,Texas,2016,37,2,5,0,0,7,31,16,13,0,0,29,150,36,181,19.9
194,Utah,2016,43,3,3,0,0,6,29,7,3,0,0,10,75,16,104,15.4
195,Vermont,2016,2,7,2,0,0,9,30,44,15,3,3,65,150,74,180,41.1
196,Virginia,2016,38,7,2,0,0,9,40,14,4,0,0,18,100,27,140,19.3
197,Washington,2016,4,9,8,0,0,17,49,20,13,0,0,33,98,50,147,34
198,West Virginia,2016,44,0,2,0,0,2,34,6,12,0,0,18,100,20,134,14.9
199,Wisconsin,2016,20,7,4,0,0,11,33,14,9,0,0,23,99,34,132,25.8
200,Wyoming,2016,49,1,0,0,0,1,30,3,8,0,0,11,60,12,90,13.3
201,Alabama,2015,46,3,0,1,0,4,35,11,5,0,0,16,105,20,140,14.3
202,Alaska,2015,15,1,0,4,0,5,20,2,10,0,0,12,40,17,60,28.3
203,Arizona,2015,3,6,7,0,0,13,30,11,8,0,0,19,60,32,90,35.6
204,Arkansas,2015,36,3,4,0,0,7,35,6,14,0,0,20,100,27,135,20
205,California,2015,20,8,4,0,0,12,40,11,8,0,0,19,80,31,120,25.8
206,Colorado,2015,1,8,4,0,0,12,35,20,10,0,0,30,65,42,100,42
207,Connecticut,2015,15,8,1,0,0,9,36,25,19,0,0,44,151,53,187,28.3
208,Deleware,2015,28,5,1,0,0,6,21,7,2,0,0,9,41,15,62,24.2
209,Florida,2015,23,6,6,0,0,12,40,13,15,0,0,28,120,40,160,25
210,Georgia,2015,29,8,2,0,0,10,56,28,18,0,0,46,180,56,236,23.7
211,Hawaii,2015,13,8,0,0,0,8,25,10,4,0,0,14,51,22,76,28.9
212,Idaho,2015,17,4,6,0,0,10,35,7,12,0,0,19,70,29,105,27.6
213,Illinois,2015,7,12,4,0,0,16,59,32,10,0,0,42,118,58,177,32.8
214,Indiana,2015,34,3,6,0,0,9,50,12,10,0,0,22,100,31,150,20.7
215,Iowa,2015,29,6,1,0,0,7,50,21,6,0,0,27,100,34,150,22.7
216,Kansas,2015,27,4,9,0,0,13,40,11,17,0,0,28,125,41,165,24.8
217,Kentucky,2015,43,2,2,0,0,4,38,11,8,0,0,19,100,23,138,16.7
218,Louisiana,2015,50,3,1,0,0,4,39,9,5,0,0,14,105,18,144,12.5
219,Maine,2015,12,5,3,0,0,8,35,30,16,0,0,46,151,54,186,29
220,Maryland,2015,8,11,2,0,0,13,47,36,11,0,0,47,141,60,188,31.9
221,Massachusetts,2015,23,12,0,0,0,12,40,29,9,0,0,38,160,50,200,25
222,Michigan,2015,35,1,3,0,0,4,38,17,9,0,0,26,110,30,148,20.3
223,Minnesota,2015,5,15,8,0,0,23,67,27,18,0,0,45,134,68,201,33.8
224,Mississippi,2015,41,2,6,0,0,8,52,16,6,0,0,22,122,30,174,17.2
225,Missouri,2015,26,5,1,0,0,6,34,19,24,0,0,43,163,49,197,24.9
226,Montana,2015,9,12,6,0,0,18,50,21,8,0,0,29,100,47,150,31.3
227,Nebraska*,2015,31,0,0,0,0,11,49,0,0,0,0,0,0,11,49,22.4
228,Nevada,2015,6,3,2,0,0,5,21,9,7,0,0,16,42,21,63,33.3
229,New Hampshire,2015,14,4,4,0,0,8,24,69,45,0,0,114,400,122,424,28.8
230,New Jersey,2015,11,8,3,0,0,11,40,16,10,0,0,26,80,37,120,30.8
231,New Mexico,2015,19,4,3,0,0,7,42,13,10,0,0,23,70,30,112,26.8
232,New York,2015,20,7,5,0,0,12,63,37,5,1,0,43,150,55,213,25.8
233,North Carolina,2015,31,7,5,0,0,12,50,14,12,0,0,26,120,38,170,22.4
234,North Dakota,2015,38,4,4,0,0,8,47,11,8,0,0,19,94,27,141,19.1
235,Ohio,2015,23,4,3,0,0,7,33,13,13,0,0,26,99,33,132,25
236,Oklahoma,2015,47,3,3,0,0,6,48,5,10,0,0,15,101,21,149,14.1
237,Oregon,2015,10,6,2,0,0,8,30,16,4,0,0,20,60,28,90,31.1
238,Pennsylvania,2015,39,4,5,0,0,9,50,16,23,0,0,39,203,48,253,19
239,Rhode Island,2015,18,9,1,0,0,10,38,18,3,0,0,21,75,31,113,27.4
240,South Carolina,2015,47,1,1,0,0,2,46,12,10,0,0,22,124,24,170,14.1
241,South Dakota,2015,33,1,6,0,0,7,35,4,11,0,0,15,70,22,105,21
242,Tennessee,2015,40,2,4,0,0,6,33,7,10,0,0,17,99,23,132,17.4
243,Texas,2015,37,2,5,0,0,7,31,16,13,0,0,29,150,36,181,19.9
244,Utah,2015,44,3,3,0,0,6,29,7,3,0,0,10,75,16,104,15.4
245,Vermont,2015,2,7,2,0,0,9,30,47,15,3,0,65,150,74,180,41.1
246,Virginia,2015,42,7,1,0,0,8,40,12,4,0,0,16,100,24,140,17.1
247,Washington,2015,4,10,8,0,0,18,49,19,13,0,0,32,98,50,147,34
248,West Virginia,2015,45,0,1,0,0,1,34,6,13,0,0,19,100,20,134,14.9
249,Wisconsin,2015,20,7,4,0,0,11,33,14,9,0,0,23,99,34,132,25.8
250,Wyoming,2015,49,1,0,0,0,1,30,3,8,0,0,11,60,12,90,13.3
251,Alabama,2014,47,4,0,1,0,5,35,9,6,0,0,15,105,20,140,14.3
252,Alaska,2014,17,1,0,3,0,4,20,2,10,0,0,12,40,16,60,26.7
253,Arizona,2014,3,7,6,0,0,13,30,11,8,0,0,19,60,32,90,35.6
254,Arkansas,2014,42,3,3,0,0,6,35,7,10,0,0,17,100,23,135,17
255,California,2014,17,10,2,0,0,12,40,13,7,0,0,20,80,32,120,26.7
256,Colorado,2014,1,11,2,0,0,13,35,18,10,0,0,28,65,41,100,41
257,Connecticut,2014,13,7,1,0,0,8,36,29,18,0,0,47,151,55,187,29.4
258,Deleware,2014,21,5,1,0,0,6,21,8,2,0,0,10,41,16,62,25.8
259,Florida,2014,23,6,6,0,0,12,40,16,13,0,0,29,120,41,160,25.6
260,Georgia,2014,28,7,1,0,0,8,56,29,16,0,0,45,180,53,236,22.5
261,Hawaii,2014,10,8,0,0,0,8,25,12,3,0,0,15,51,23,76,30.3
262,Idaho,2014,17,3,3,0,0,6,35,8,14,0,0,22,70,28,105,26.7
263,Illinois,2014,7,11,4,0,0,15,59,32,10,0,0,42,118,57,177,32.2
264,Indiana,2014,33,3,5,0,0,8,50,13,10,0,0,23,100,31,150,20.7
265,Iowa,2014,27,6,4,0,0,10,50,19,6,0,0,25,100,35,150,23.3
266,Kansas,2014,24,4,9,0,0,13,40,16,13,0,0,29,125,42,165,25.5
267,Kentucky,2014,37,2,4,0,0,6,38,10,9,0,0,19,100,25,138,18.1
268,Louisiana,2014,50,3,1,0,0,4,39,10,4,0,0,14,105,18,144,12.5
269,Maine,2014,12,8,0,0,0,8,35,34,13,0,0,47,151,55,186,29.6
270,Maryland,2014,10,10,1,0,0,11,47,34,12,0,0,46,141,57,188,30.3
271,Massachusetts,2014,25,12,0,0,0,12,40,31,7,0,0,38,160,50,200,25
272,Michigan,2014,36,2,2,0,0,4,38,16,8,0,0,24,110,28,148,18.9
273,Minnesota,2014,4,15,8,0,0,23,67,28,17,0,0,45,134,68,201,33.8
274,Mississippi,2014,40,2,6,0,0,8,52,16,6,0,0,22,122,30,174,17.2
275,Missouri,2014,29,5,0,0,0,5,34,19,20,0,0,39,163,44,197,22.3
276,Montana,2014,15,6,5,0,0,11,50,22,8,0,0,30,100,41,150,27.3
277,Nebraska*,2014,35,0,0,0,0,10,49,0,0,0,0,0,0,10,49,20.4
278,Nevada,2014,16,3,1,0,0,4,21,11,2,0,0,13,42,17,63,27
279,New Hampshire,2014,5,6,3,0,0,9,24,98,32,0,0,130,400,139,424,32.8
280,New Jersey,2014,9,8,3,0,0,11,40,16,10,0,0,26,80,37,120,30.8
281,New Mexico,2014,14,3,3,0,0,6,42,15,11,0,0,26,70,32,112,28.6
282,New York,2014,33,7,4,0,0,11,63,29,4,0,0,33,150,44,213,20.7
283,North Carolina,2014,31,5,5,0,0,10,50,14,13,0,0,27,120,37,170,21.8
284,North Dakota,2014,39,3,5,0,0,8,47,7,10,0,0,17,94,25,141,17.7
285,Ohio,2014,26,5,3,0,0,8,33,11,12,0,0,23,99,31,132,23.5
286,Oklahoma,2014,48,2,2,0,0,4,48,5,11,0,0,16,101,20,149,13.4
287,Oregon,2014,8,5,2,0,0,7,30,15,6,0,0,21,60,28,90,31.1
288,Pennsylvania,2014,38,4,4,0,0,8,50,16,21,0,0,37,203,45,253,17.8
289,Rhode Island,2014,20,9,0,0,0,9,38,19,2,0,0,21,75,30,113,26.5
290,South Carolina,2014,49,0,1,0,0,1,46,11,10,0,0,21,124,22,170,12.9
291,South Dakota,2014,30,1,5,0,0,6,35,6,11,0,0,17,70,23,105,21.9
292,Tennessee,2014,43,3,4,0,0,7,33,7,8,0,0,15,99,22,132,16.7
293,Texas,2014,32,4,3,0,0,7,31,17,15,0,0,32,150,39,181,21.5
294,Utah,2014,45,3,2,0,0,5,29,8,4,0,0,12,75,17,104,16.3
295,Vermont,2014,2,6,2,0,0,8,30,51,12,0,0,63,150,71,180,39.4
296,Virginia,2014,41,6,1,0,0,7,40,12,5,0,0,17,100,24,140,17.1
297,Washington,2014,6,10,8,0,0,18,49,21,9,0,0,30,98,48,147,32.7
298,West Virginia,2014,44,0,1,0,0,1,34,11,10,0,0,21,100,22,134,16.4
299,Wisconsin,2014,21,5,4,0,0,9,33,17,8,0,0,25,99,34,132,25.8
300,Wyoming,2014,46,1,1,0,0,2,30,2,10,0,0,12,60,14,90,15.6
301,Alabama,2013,47,4,0,1,0,5,35,9,5,0,0,14,105,19,140,13.6
302,Alaska,2013,14,1,0,3,0,4,20,3,10,0,0,13,40,17,60,28.3
303,Arizona,2013,3,7,6,0,0,13,30,11,8,0,0,19,60,32,90,35.6
304,Arkansas,2013,41,3,3,0,0,6,35,7,10,0,0,17,100,23,135,17
305,California,2013,19,10,2,0,0,12,40,13,7,0,0,20,80,32,120,26.7
306,Colorado,2013,2,11,2,0,0,13,35,18,10,0,0,28,65,41,100,41
307,Connecticut,2013,11,8,1,0,0,9,36,29,17,0,0,46,151,55,187,29.4
308,Deleware,2013,20,5,1,0,0,6,21,8,2,0,0,10,41,16,62,25.8
309,Florida,2013,23,6,6,0,0,12,40,16,13,0,0,29,120,41,160,25.6
310,Georgia,2013,28,7,1,0,0,8,56,29,16,0,0,45,180,53,236,22.5
311,Hawaii,2013,8,8,0,0,0,8,25,12,3,0,0,15,51,23,76,30.3
312,Idaho,2013,22,2,3,0,0,5,35,8,14,0,0,22,70,27,105,25.7
313,Illinois,2013,7,11,4,0,0,15,59,30,10,0,0,40,118,55,177,31.1
